Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
19	-9.741756827328889	45.42691451715762	-11.84057985496774	-12.86494441702877	-13.370393498183642	-11.03897922431333	51.36151499554752	-11.749311453047804	-12.899558122059949	-13.692573479029173	-10.625905833539736	48.49797889463788	-11.602177169950364	-12.653747887416689	-13.206480640476945
20	-1.0287902846752792	3.3683244463224034	-0.8745667134472619	-1.0898078827852327	-1.449999413388518	-1.08649765056461	3.999113727769714	-0.9818059692485328	-1.3279374799467474	-1.2741606564964394	-1.1648147504212831	6.108329287368266	-0.7935876186139258	-1.206670762973911	-1.1971282788986368
21	-0.7341460912720537	2.132491040056081	-0.799902133415731	-0.5932816761920963	-1.0400464273781793	-0.9138462323977342	5.718760792393143	-1.192115070521801	-0.7931550446165025	-0.7046888714293924	-0.6863176445287014	2.3981220173555915	-0.7963775572611529	-1.090868137674184	-0.9046289631172878
22	-1.1415729870583098	2.498792923046053	-1.3300019341074418	-0.9640839738966883	-0.9980946863661272	-0.7304825482170683	5.071486346900715	-1.515954761778707	-1.0543377004586343	-1.3241991376378055	-0.97457372165685	5.557651162195219	-0.8037703105638255	-0.8200376582062324	-1.470821012194299
23	-0.9520993789279038	5.687528384782903	-1.233140366821204	-1.2164631563561912	-1.2010334049760305	-0.7753385093192479	4.4769326761811445	-1.4516553446519336	-1.3628193324898212	-1.4515932473880389	-1.0239663893606745	4.189922649961562	-0.991935790404118	-1.316425304295619	-1.3779134859348228
24	-12.086147144958849	51.163734168808766	-13.50912725379511	-14.23322532719892	-14.642262865466181	-13.391834238732681	59.10998364287934	-13.637893867031002	-14.455068532875929	-15.534102043566373	-13.041601795838169	56.373250271887244	-13.542880970246538	-14.150628794124831	-14.422195249740822
25	-12.526344869346646	56.8484265266638	-14.826115422714095	-15.774462739094243	-16.39641733473309	-14.486089359931597	63.62167900875734	-14.97197970349439	-16.192012510801035	-18.06297015639615	-13.872513878220577	62.88044797955622	-14.683897880645956	-15.526659785990795	-16.031089873608746
26	-8.263225784870475	45.42546072549251	-10.894438588003368	-11.634250103216628	-12.10424082118334	-11.135709192504116	46.24700848385192	-11.338254018243878	-12.090553854725213	-12.536764804104891	-10.877852358900505	44.67733167726197	-11.320341729225103	-11.903248873932185	-12.250920757696717
27	-1.0609367655781132	13.859366545015943	-3.055611682772119	-4.182285512349909	-4.6413945371470255	-2.2737939532094735	13.424328051342835	-3.0104077772545805	-4.250385875687466	-5.6020185985246425	-2.136553361911842	13.857494299742795	-2.7528935777467325	-3.8124536848814454	-4.362453569038231
28	-6.078366337112095	25.61972907576024	-6.733505035503323	-7.141404495375496	-7.16309276991931	-6.219462818185006	28.16045676569036	-6.714994806547095	-7.080001914747239	-7.305807130724326	-6.15166919677041	27.677618732957836	-6.692384632964236	-6.976193543925132	-7.200921892634781
