mass	P1_500μC-N	P1_2000μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_500μC-N	P2_2000μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_500μC-N	P3_2000μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
49	33.916038277284756	-9.073623115209541	-10.206484687219936	-8.171257415872663	-8.987121910247245	48.928931612758774	-11.907484758895787	-10.702622867756867	-9.861685128227085	-10.26048136276421	29.090466007706297	-8.916737635779876	-10.367556406939554	-7.084835720498223	-6.395544888338824
50	26.312275368120034	-4.2023380555541925	-6.104185353219287	-6.319460805734348	-5.75420409347984	20.545783373407968	-6.749892864824511	-5.577920536467328	-5.028429513895939	-6.709493529594316	23.17921753409814	-6.606119038589466	-5.715145474399223	-4.829959598396075	-6.4401274114716385
51	12.189154918900202	-2.730734525670243	0.3851463431099404	-4.43503311920939	-5.197945580983014	14.815575384890254	-4.958527290738261	-4.452027412701613	-6.481720246756043	-7.163339659619588	17.194931426122913	-1.3070644666707978	-2.556810555046855	-3.3102844634338697	-1.9913207521936116
52	17.407473155469877	-4.4819400659936095	-4.277387638402712	-5.529551982556847	-5.635813055325294	20.648379962695927	-4.671817173013781	-4.841319158574663	-4.370804302656044	-5.151867778884277	21.620828649235413	-5.400809986543015	-5.965420152130498	-4.592544660172959	-4.757405813147519
53	15.038056917739983	-4.922886438614975	-5.309272876935763	-3.5139047515920105	-3.271107048192143	17.26575566316404	-3.4952483686208637	-5.7130648712091014	-4.066462115735959	-7.028958376225499	17.372818345465333	-4.434506976461271	-2.5188380686614793	-2.7315502529198503	-2.670830781200418
54	9.095463453206884	-1.3980185087131047	-2.5132344741884665	-3.252032825867874	-2.360874671915004	13.878503758204815	-1.3541878113220271	-1.5846730526762787	-2.427369225068266	-3.964570533763893	7.182355024595484	-2.5467116049567715	-3.484672871540223	-2.2449147850730005	-3.025061870922293
55	8.530249291646221	-2.2572917768979512	-0.8395630969475671	-2.3356253384437102	-1.0778939919110737	5.832829030163593	-2.6098335974029205	-5.258455071813246	0.7432312922485567	-2.2634773686714165	7.9128574694062905	-3.053743213066809	-3.2760907152802488	0.19534225868085342	-0.2425351717105715
56	10.013547056474199	-0.9240051969696864	-3.366456534903026	-3.1149688340429265	-3.3982421523130677	11.383462380242333	-2.8818697978807304	-2.147225561586021	-1.9848813661508762	-3.3194189144979513	10.846553883956402	-2.9006379630290704	-2.391944219657268	-2.7451763458233667	-3.0687364338189416
57	8.398881658077764	-1.1914765074755655	-2.6671823010256364	-4.151143119055594	-3.2920919577238688	8.895660693307	-3.0286515218840098	-1.7779269957538517	-3.794202020447189	-3.5027398957554645	14.109840633214517	-0.08137311883679182	-1.8444513641182103	-3.7543378083872874	-2.3188063741358
58	8.127683940242244	0.3384160196899533	-1.1548027930454277	-4.347017020650044	-4.968227351455651	5.329805739347397	1.8339283848672976	2.0138481374768737	-3.8986626647867784	-4.922753754486635	3.9134870996471744	0.5542549393984781	1.7893043652049196	-2.5942904694823614	-2.0149745719674086
59	12.61500875246695	0.7478897697227562	-2.409254633388044	-7.960023190150199	-6.170979758489217	23.62993088981626	-4.025146181461909	-4.61832417976242	-6.269281633698387	-8.441556395217836	21.525914217486093	-2.6530328421097207	-3.356163084039512	-4.601667255432915	-8.013314475741918
60	44.330449481358336	-12.806208822980363	-13.72946182673558	-13.693465145421202	-14.430104970211227	69.09192364762758	-13.201222459779956	-13.15009569189829	-14.485352999399181	-14.696931055678409	51.04100979358981	-13.059548282120367	-13.043971161464958	-13.652637130204488	-14.514383376681687
61	42.483096749094955	-8.859401697525406	-9.407658228878216	-10.429263101443487	-10.145084198897752	37.72614524546018	-9.630613064405246	-9.791313552851006	-9.531667512113021	-9.41479421296336	36.7026979892361	-9.377966033719984	-10.954113058146673	-10.422296460724569	-8.947768862122542
62	24.718643065158513	-6.542983771317383	-5.8690532955841395	-7.244201452992595	-6.744950449913183	26.88235952388718	-5.937831409783201	-6.753175681570254	-6.445084449607193	-5.8499256633632735	26.699331518583094	-6.220893523981524	-7.944153916135379	-5.996506619236388	-6.751573874144293
