Mass (u)	P1_2000μC-P	P1_500μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_2000μC-P	P2_500μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_2000μC-P	P3_500μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
473	0.008061914785880813	0.015248742055994378	0.008459040024703383	0.008753976577716073	0.00894850293136311	0.00918600158250957	0.015245160795370104	0.008608016938363884	0.008740934895239886	0.010566239229318843	0.00831532592081018	0.01575761200091042	0.007988164725742278	0.00803365704607805	0.008553411677324037
474	0.006973580406629391	0.015011115892656827	0.007952994797179279	0.008234677150976168	0.007946276698277157	0.006514458610690273	0.013968310734590584	0.007226565707196844	0.007375694011371907	0.008523726042437521	0.0070380682487083835	0.01314264146058164	0.007280831793717976	0.007597792837122029	0.007467673602280405
475	0.008764354663460148	0.014105433309579812	0.010001106007069131	0.009834178312674368	0.009516391967094674	0.009104077748105179	0.01376135275004331	0.009887323539091778	0.00964663581763901	0.010148132177236244	0.009142959431447885	0.011959954906332433	0.00950364772170091	0.010235446425291938	0.009656818067275759
476	0.005877180660643561	0.012386044733015534	0.006742430676068763	0.006640035411640253	0.006617822492954791	0.0074778948324620426	0.011612722195609295	0.006477422973018522	0.006610505599193359	0.007739622529570874	0.006262137230674866	0.012618789996852647	0.00581956781418942	0.006713991145577288	0.006547757711518079
477	0.007070697256955103	0.014105391814924451	0.0077260848033685785	0.008123107734256391	0.007600598357355182	0.007511214959614958	0.014373274422071498	0.007791311489203771	0.007613721210307246	0.008774221646220912	0.007703144953129725	0.015323448648860476	0.007832954248848212	0.007554999904316954	0.007665822686895589
478	0.007166448789494516	0.0114821447917737	0.007777070117184485	0.0075608243143989754	0.007457828920655382	0.006994950464306528	0.011362999383332897	0.007195653948368896	0.007233253901851139	0.00825119257382848	0.006964398363636618	0.013447146000098597	0.007110296505521688	0.0072482638739780145	0.006794989773758454
479	0.0078040859714475636	0.016015504143102845	0.00810080655290646	0.008701679310669676	0.008642881894973024	0.007740453584008976	0.016768978212457698	0.008711062103078213	0.008825520425906742	0.009057632939610427	0.007934178595657851	0.01683424376311778	0.0083192370754348	0.008350420037898753	0.008084686471788973
480	0.007919681746129309	0.015090612701091114	0.008341242410367775	0.00873641426603988	0.008704770339737102	0.0076102815622703214	0.012675972453120545	0.007704908942796762	0.008481844120244912	0.009332256925704864	0.008797686252904707	0.013447123030270684	0.007895356111356878	0.008804020234252558	0.007897037516271736
481	0.010000010436207931	0.017721136538549793	0.009618364410985505	0.008977100697851648	0.009229661804987388	0.009943065149457113	0.018322666663886895	0.010521724021380798	0.009646679781118597	0.009724298589318139	0.01058198478289731	0.017230459629636544	0.010415592495881285	0.009375321777803714	0.00968789582179636
482	0.007006101609896719	0.014020163685181369	0.008458825345890939	0.007231928405185575	0.00792928983847343	0.007675607048090931	0.0151507710093261	0.008017207800182679	0.007672040663581013	0.00922859222329324	0.007360596567357329	0.01505690196445223	0.00773836178965837	0.007203385881941034	0.008010130257107414
