Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5	Comp_6
30	0.0698942198417213	0.0024338885979647974	1.1509005417877286e-11	0.006877167536031593	3.112295685114663e-06	0.00038306035024985755
31	0.04769072987846521	0.013092077376695646	0.006233314057257272	0.006203858149927944	0.0011627627888924788	0.005880103921968083
32	0.20351296444092368	0.048976545693605864	0.004541400967354639	0.02339855448115219	0.005591806571747139	0.0652312595443484
33	0.07226277819612537	0.03322989272309388	7.644491068122344e-07	0.04917754470448955	0.017682955610688333	0.07156701554123471
34	0.016858794227194017	0.006497507797929298	2.0825248917530167e-06	0.013228908807025338	0.010411802247169937	0.01940398718600422
35	0.09047258681757926	0.4084381279671588	1.2164109420047409e-09	0.12987148842809315	0.12097191993151825	0.05321389402801487
36	0.36886376491192946	0.06682027532176597	0.06431090248582126	0.01778470051898386	0.025760183312834077	0.014935198311447174
37	0.22701957359485275	0.23813266655682383	0.03047831173763061	0.0634206573916876	0.04673309813573327	0.02610597921679689
38	0.15024939469826695	0.07521329984071336	0.05403720081634897	0.057171847053194	1.7082118738958743e-05	0.020826548135478417
39	0.08296344224858854	0.04919496034938261	0.05241095379623626	0.033492198714155944	2.4303527436897117e-05	0.01376848268469716
40	0.23764840891656672	0.07453877051704051	0.05024940191397473	0.015204127471017063	0.009175441103033848	0.026001218815553114
41	0.2736112915931855	0.17541381615631998	0.16286132708070986	0.062098688985027406	0.004254701786491054	0.04278318303867055
42	0.15669044081133232	0.056591854851693005	0.03496782052781106	0.11170870154253548	0.033641640024036266	0.08122038751770892
43	0.11233156656026777	0.14966564570398241	0.06411152307516489	0.03676292657742391	0.030015806191609134	0.06915871306296514
44	0.06783251538131153	0.03573394444067137	0.014269695450627638	0.011031247537406563	0.004389893224535091	0.013138875913113282
45	0.1349815953023429	0.11753235739925236	0.1385957267229201	0.048916121015485634	0.01229342916796834	0.032974107813034406
46	0.02799375803782543	0.02066272617719728	0.015615006874934736	2.949202996843722e-09	0.012113512269810762	0.008759749880243096
47	0.044667193367875356	0.017707344076615755	0.007981810779047816	0.015051561539004317	0.0014642232015248536	0.007637750067155713
48	0.43419920022337094	0.05192179514365679	0.07176222283763171	0.0029876161291733042	0.052191629567412086	0.03179829920595042
