Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5	Comp_6
24	0.0066732524605255285	0.012857525353068831	0.004025128385286285	0.07447192990930304	6.210306330840236e-11	0.017655872078008162
25	0.02224245895663015	0.03313487057917906	0.00535379163910576	0.01491526459419229	0.002819381731328825	0.024514874102626722
26	0.10679814067226735	0.08744276051970053	0.011614462979018265	0.017012862897751797	0.004672854193869046	0.04302089283098505
27	0.704747228165462	0.20930138524225927	0.0038767727253888043	0.10140794315045944	0.0017561371562875932	0.11445183183565956
28	0.18670289121200573	0.17430378677968486	3.146231777046287e-12	0.045278984613517884	5.608650848340636e-06	0.14333524483775553
29	0.40611323708274566	0.09192515488159088	0.009103706791659935	0.04758720359175133	0.04044303509414145	0.04697972063260299
30	0.0726391509534237	0.037376038465193204	0.01396570637935908	0.020279133714984143	0.012574020122179369	0.026169840956658426
31	0.10937979901901927	0.020883086426826018	0.09097697245524403	0.006601808610601316	0.0100401571704906	0.017016734384614946
32	0.01962090852472319	0.006280943656679992	0.011282819715709975	0.003521662354505357	0.0017806955225292912	0.006740118306515126
33	0.011485536686705839	0.0019888587703321362	0.00769136215928321	0.004155372621091082	2.32131361228391e-06	0.013004851875724024
34	0.006052747535535496	0.0031236803362595777	0.0015515430508872422	0.003820873274570277	3.3469375150614e-07	3.0848915658107286e-05
35	0.006978256581276758	0.0002772865890208048	0.00109435689600329	0.0008941055089328249	0.0010522996426092068	0.0028541833803186114
36	0.009350385215796037	0.018725445615694104	0.0029917495071021608	0.0036545194206151306	2.2607616068727363e-08	0.012948863613922426
37	0.0485027671700556	0.07634294325000149	0.013938679969927956	0.008061732466443709	0.00036403022043304204	0.04556398564403993
38	0.09315207468181853	0.09055945359084107	0.03125458931587397	0.01256332602288281	0.00034857874869051214	0.049072582023625376
39	0.3555499088914443	0.211531615748332	0.10890962850456824	0.06876417792457136	0.04284721528863839	0.043571987512532995
40	0.13946578245633598	0.06267311244488176	0.033701023342855706	0.028538776713190304	0.03630344895346418	0.0029580455685728744
41	0.4948539545457458	0.0641961601121311	0.0691787137986339	0.05701804929607411	0.046302686019953805	0.004592373429210171
42	0.1870826623174695	0.037459246806880925	0.010797152384266645	0.029335500214614094	0.02363938022288187	0.012181367339520839
43	0.40653516054222216	0.033060260222994575	0.049870874269396355	0.04081156418705007	0.056279819440326985	0.0162114180797772
44	0.13576804067468193	0.045770247081046614	0.02768488751285915	0.02363901323350803	0.01531952124668768	0.03681815722388792
45	0.15967761980976417	0.24713926736096875	0.0009225072814232283	0.025726453139916748	0.04047251216597517	0.10608706730059932
46	0.038395440208588004	0.057233490931745255	0.018244002300270987	0.01208829742309248	0.02598556084747957	0.019081953365832308
47	0.04225651583345178	0.056240464148082356	0.00654235390898626	0.006707424523631059	0.013814628345294098	0.03133230945406686
48	0.02242693813864243	0.01330757032183284	0.002825132608707824	0.0037271835469647767	0.006198799452581754	0.0061253323466840745
49	0.028797310356329382	0.044066952443016304	0.004670935628026049	0.005074558101786686	0.007869100378233835	0.029168312577531053
50	0.10554104479635189	0.14624306997723796	0.05236916629332331	0.014066758421955315	0.0002862778557181065	0.058662664725261396
51	0.1802568548604869	0.1914034877238719	0.11819456995108625	0.02016865170276672	0.000981490133648567	0.045802732296993505
52	0.11888251289384037	0.09072876883747095	0.05925478529298072	0.021439687829602577	0.00011498694793014558	0.017327245200237887
53	0.23411170421871547	0.13881660111025865	0.11795738828575404	0.028716511228982614	0.007263773673198232	0.05612773890133502
54	0.11727769855811127	0.045807330477607835	0.021679332138028844	0.01996450476173023	0.007466070621902384	0.013579837971867249
55	0.3386434168061417	0.03140207753707703	0.10257814840560217	0.04073479948778507	0.005399667420975491	0.014105423202908921
56	0.11626078409265365	0.01505740078254044	0.013271697617305922	0.02427049731441724	0.013442772255035654	0.014711663985788203
57	0.245056623012936	1.3992498390012724e-58	0.0005125365844630811	0.031575554883200026	0.0983324774530365	3.131859935799225e-20
58	0.07936178984112506	0.007244087810602251	0.026242301920876013	0.012620408630433256	0.031849453176653664	0.005434904173802219
59	0.07892439355745923	0.008405297776179743	0.009455485162083126	0.008495862908481028	0.03502694108939659	0.0030059075226721637
60	0.035588967934527344	0.01790675496393707	0.0061241505183230755	0.007699012484404335	0.01100803158581628	0.014966819023446178
61	0.1546454659000042	0.07121866545747106	0.03881293832459833	0.018596236663623724	0.009129673910914975	0.03692796803133125
62	0.07615194650751089	0.14292930900930717	0.054223762878097916	0.011898854597287862	0.00017388845309394813	0.05821461272124994
63	0.13270005860200226	0.19889156340474842	0.11513721625822139	0.01356744710138933	0.0003226617982456829	0.06407035331326535
64	0.06502633976079324	0.07711747640883455	0.05488094769789841	0.0047199154987134055	0.0014196957401813937	0.02186832898079225
65	0.15475830522053607	0.09201980806674208	0.12700153906514067	0.014323997404896753	0.006295625132170094	0.017956835338610387
66	0.09034369686130711	0.06341963753806192	0.062151069762193	0.011860173428151195	0.0038338831890955684	0.014022574274867264
67	0.15564891741822628	0.044572252655449146	0.0687979518892968	0.018102137853455737	0.015204630306046405	0.012929105129583297
68	0.07709837183006335	0.023265292828364228	0.034124460515154144	0.010953031667195946	0.00846122874844633	0.0044529557549594515
69	0.16262254126518236	0.02343387215321495	0.06881370051736312	0.009557739328397877	0.02666695816006566	0.009265799078375412
70	0.07843431938087625	0.019776882012934864	0.021530276419255368	0.014961017258247819	0.007122927745223343	0.01079856789894874
71	0.10995189491413832	0.031499757195139796	0.03810694849877323	0.013097298567386596	0.02141027199525883	0.019292359180732147
72	0.0430609665693992	0.05300656589075261	0.017055900667516707	0.009803498127803227	0.018424059049435983	0.035689837067063954
73	0.10445868908963836	0.04334054655639972	2.8169924734324173e-05	0.015148219950711238	0.05977638851629256	0.02941703829767523
74	0.0715483567219006	0.15100986081691234	0.05406923146091026	0.01260042253236676	0.008612403226205432	0.06655215742324548
75	0.08208704352476645	0.1440388300536853	0.06846183703118346	0.014451082855532597	0.028008245190457963	0.050186967373811016
