Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5	Comp_6
47	0.0015440314711463708	0.0026320296010791614	0.0011822132591978178	0.0031585589665675214	0.0019496493661600087	0.0054932642933769515
48	0.0008233951659837703	0.0006435511079790932	0.0005956552621050496	0.0017459574220076374	0.0007948514647619747	0.0012718045857390966
49	0.0010571957848615025	0.0020592327151105617	0.0007817871837543737	0.002153947140292686	0.0012717476356186217	0.004705430285394637
50	0.0039771259478800225	0.006937752269672451	0.005353776025432115	0.006369961261234914	0.000465516684063076	0.011426028694297357
51	0.00674603437102588	0.009205591306523623	0.011240086618993074	0.010680806907382203	0.0009518830670996264	0.01160917098455405
52	0.004482446933397618	0.00443538182993053	0.006127566071188255	0.00909780191340386	0.0	0.005274466419378683
53	0.008747713153151999	0.006973883949855288	0.01192416853223476	0.014198631559599405	0.002523339162068525	0.010172948180969633
54	0.004388726125398702	0.0023411248945080826	0.0034567440005056627	0.008370707810469554	0.0013249365022711442	0.0036606972844241085
55	0.012595720514711726	0.0023279064116625103	0.012304595624380342	0.01921430287434706	0.005121398755403212	0.0022444304973292008
56	0.004339897721569774	0.000935285700527156	0.002809639519307691	0.009644150502616348	0.0020524174620529085	0.0024607230109300483
57	0.008891065249915692	0.00012551202536192525	0.0045147615609367675	0.017936656146640962	0.011815384127015232	0.0032028308342632586
58	0.002857120986607937	0.00046502000311705296	0.0032541306838204083	0.006785091912434424	0.004188943336034413	0.0010478336532792863
59	0.002839189736596026	0.0004907945252800267	0.0021710752026881646	0.0056144227874969	0.00422380191086653	0.0012524019804059125
60	0.001299564448446699	0.0008754357766377489	0.001018018647931186	0.00327264589228774	0.00157865529561881	0.002340391949940524
61	0.005769961843770813	0.003592537735419193	0.005211161558474197	0.008883505272454127	0.002046397550160606	0.007039298369228861
62	0.002858009929848907	0.0067172677560499855	0.004966410334082571	0.005172682696761985	0.0006780050023986313	0.011055084770554658
63	0.004958834549955907	0.009443750382674313	0.010181523413080214	0.0077038558484684985	0.0009056128068824508	0.013379458691846072
64	0.00241117783726512	0.0037052369921653583	0.004870905668993076	0.003352033513177189	0.0008603852769751899	0.004738950555081174
65	0.005726676754565184	0.004657678742905742	0.011324044436686087	0.00904962370333993	0.002288168250192413	0.004198235415898846
66	0.0033527825626871953	0.003136811867146887	0.005786552582285439	0.0060250334719499955	0.0012750229035574801	0.0034816769296242204
67	0.005777116403827635	0.0024379215045545015	0.007350866461729276	0.0096596518562854	0.0027022580795476405	0.0026595959041880485
68	0.002854223071178592	0.0012465697107754581	0.0036539524093035665	0.005370943891960737	0.001500243441233971	0.0013142352168008565
69	0.005988460395369758	0.0014789177843135231	0.0075544257217998794	0.008122149740235573	0.003952909320838246	0.0015759218558534212
70	0.0029280597758666216	0.0010871113103560284	0.0027648149107791374	0.006218048113240008	0.0012061919309797014	0.001897204130465046
71	0.004045974844559664	0.0016845672437679493	0.004495766354029046	0.007150515134220246	0.0031854672196710127	0.00318111593494186
72	0.0015472485814644796	0.0024837595733027385	0.0018855202507682782	0.004309627530399895	0.0027916287662565023	0.005643278053548118
73	0.0037477426099919555	0.0020896680022561716	0.0017658480199314597	0.008584445995084311	0.007620675000070405	0.005440589649672898
74	0.002632436487751344	0.007050602639042359	0.004852104737038738	0.00551299370112845	0.002299508739142526	0.012207606960726028
75	0.0029426820390727948	0.00671256868900688	0.00618493183177855	0.007431205555964226	0.004543035432971325	0.010473978563453529
76	0.0022132432409539904	0.0039686948589934155	0.004399164952169304	0.004270261281574413	0.000646846828090749	0.005114428569465518
77	0.0079624913041666	0.006423738576033264	0.013288004354123275	0.012740589591987215	0.004173657876493704	0.00677297769998003
78	0.003852821887149872	0.003111619857274605	0.007437161977708339	0.0062630500823715575	0.0017314144788284254	0.0036540237276557574
