Mass (u)	Comp_1	Comp_2	Comp_3
170	0.022500486637585405	0.015831990206419372	0.016887876298453387
171	0.0206527337890053	0.029113020773394768	0.036032573826369645
172	0.011955494547161077	0.015986693629478802	0.01802236853226759
173	0.014174187727265091	0.04592510636022448	0.033474226213196005
174	0.010242418110880678	0.017454194188158356	0.01892538822778722
175	0.014046363214645849	0.03448768956379356	0.02589410443385557
176	0.010879561704442065	0.026029169906468076	0.02197342445060607
177	0.014864777787846868	0.030319505734721988	0.025647802918670692
178	0.027202795607434913	0.027155117042646976	0.011224132941034148
179	0.14944732578410216	0.12416633619032183	0.06833841277162736
180	0.07545341218055443	0.016600562632934017	0.016472056446419362
181	0.07806718724508464	0.04515276574548873	0.03127960332976501
182	0.037507309470238254	0.01626602467338425	0.018112211661401575
183	0.03248558169279611	0.03186074793036891	0.01996663340792643
184	0.016242713238330236	0.017025463874765973	0.016830685067442633
185	0.05831121147209926	0.025323494490826402	0.025083358502736887
186	0.017497521619263906	0.017386909963107253	0.019470995584725526
187	0.019461328317798	0.0408170974218222	0.04729980801997922
188	0.011114216402777844	0.020867296222525065	0.02695193164143718
189	0.016832569502698253	0.03737040476305746	0.03611868971552002
190	0.01148527280167431	0.01705719969162212	0.017106899119061953
191	0.013731430345840142	0.03313212768129147	0.03157068884512718
192	0.014259695470386179	0.01421507298210419	0.013784122015282436
193	0.026295036093801415	0.02168336295751078	0.021276339632077444
194	0.01898395670899701	0.017503207967931263	0.014127405257248697
195	0.01918338097797688	0.030628016917203786	0.02536154710793676
196	0.10083659016365851	0.013265395066671964	0.012422178203434931
197	0.18467274236791462	0.05286860695633718	0.03378046919615431
198	0.08363349209515294	0.01049733699923522	0.013685833235113335
199	0.08581572029860665	0.03792183730299312	0.016592765649561945
200	0.034354126505805035	0.01488704582311515	0.014458593573240933
201	0.029246255303027935	0.024971796575472213	0.02668257033123786
202	0.012085340849010274	0.014792768035168874	0.014664403375147763
203	0.017310399591844522	0.03580019323511759	0.03936809931345576
204	0.017925026508843696	0.01539206949959091	0.015723824680958967
205	0.026763346967768473	0.04683580153181632	0.04109897941956126
206	0.021945900592725782	0.016438171980774928	0.01868280885156454
207	0.017645698177035107	0.0313358227750471	0.02983184332023229
208	0.01266709470600521	0.014216035971564435	0.016990247366740607
209	0.018000049653737894	0.022899325165123236	0.02145833940314488
210	0.012892389491263992	0.014077539236897012	0.015104635175575249
211	0.013280469667341914	0.023801351107562953	0.027903104501391784
212	0.010442305794524839	0.01440508717969419	0.014920619130950807
213	0.02504701190817536	0.024887176146854144	0.02998346854909668
214	0.013994978863821145	0.01560382428067096	0.014291768487744454
215	0.014375693552077858	0.03995783656453585	0.02436493438151437
216	0.011211857850561628	0.013599376711105116	0.014082163005581266
217	0.017236763336234667	0.029864074929063223	0.01958378390194155
