Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5
59	0.128355010813368	0.17773483234227505	0.027848583264525172	0.0017481640674727654	0.019437013311402896
60	0.7448606985490629	9.548020829955032e-08	0.06813402018918473	0.017557049236413456	0.020579422878109422
61	0.43445727822227037	0.04036131317542489	0.07575725190859187	0.06930098518541472	0.0005467448851317374
62	0.20193823473547268	0.04329715766483495	0.07418328524457284	0.036962881859959495	0.0025504569638195645
63	0.17078999326464425	0.04239339905712011	0.05561651671880101	0.027414364530414997	0.006080695816838779
64	0.08748671359248812	0.06376475471333765	0.015505394635002221	0.04882208804355755	0.03603201455839487
65	0.12142516709914877	0.08122958074882898	0.11912304598420914	0.034132583716920475	0.015903910121679247
66	0.05681148091216319	0.03450665530422442	0.03950508107207006	0.0479867439101392	0.022641921517076877
67	0.05275298485613345	0.08590426886817339	0.08615382393140401	0.013137625307326319	0.00041878172129329784
68	0.06768792941874796	0.020391311639991066	0.024174778187773853	0.011959930325451121	0.0013174318702340764
69	0.09705867139416319	0.06465976182765029	0.09317529128288655	0.0018307637181319445	0.00467453284005516
70	0.034951388678390566	0.018955739910976516	0.020574954314339176	0.00011228379825294781	0.005420852013992868
71	0.025906594718303044	0.07616851134899714	0.05102595673080063	0.032766944873986056	0.023437383996755785
72	0.27071068741325777	0.022947310336196854	0.059784175568005415	0.010100883034832302	0.04392416398832111
73	0.29421424929495843	0.06169900207101211	0.13275446512561867	0.01637805901368456	0.02742553710243602
74	0.11623011212208757	0.021996260998500064	0.04644070662959449	0.04522119153708595	0.01435665699736087
75	0.07374908095112517	0.058083282995492515	0.047304511156850984	0.03816140726391278	0.003575932367062521
76	0.6448446437116532	2.3211686641044188e-54	1.132190968158224e-42	0.0012238096893272925	0.0155118906457112
77	0.6729765261446877	0.05210759944307575	0.06091261041074623	0.08162106407460547	0.0027377316710255855
78	0.20191516033230428	0.01578341408917898	0.01671086097462262	0.02377598453029593	0.0063205922803421626
79	0.2402930914124156	0.03785561957923199	0.034035621959276494	0.04735151908796206	0.028723168257709868
80	0.05477818425287495	0.06341261556295887	4.780146741429116e-14	0.07211746388707442	0.028438137770901845
81	0.0616854247660625	0.049800308437745716	0.018657680748532707	0.03210050730379393	0.018365525414086318
82	0.026180230812572435	0.0218768952419655	0.019693503104233703	0.0278713299675972	0.024586104284302166
83	0.02836244268667278	0.059677222749633364	0.048075675337980135	0.01301336458197428	0.009337255848168897
84	0.170377047189775	0.018182847772943204	0.04741898272048689	0.01094603072164926	0.017777895950557978
85	0.14735039950306478	0.04144634678341299	0.06738266619284027	0.010179578273253666	0.015227889980987149
86	0.10499382466129738	0.029101672724389988	0.058848771004478634	0.0414279533506102	0.007047238949263548
