Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4
28	0.19195324954872484	0.19163080269996224	1.2105702658061293e-12	0.03428759499108107
29	0.41086058667445635	0.0942186948126102	0.011683987500204416	0.04480043363143927
30	0.07450941199865725	0.03979594891842657	0.014281782301483489	0.020884436733809148
31	0.11117848895741998	0.020158881412734055	0.09047619327223481	0.003392943627613049
32	0.020118999263780964	0.006785141325183222	0.010862062277249401	0.00311404104874752
33	0.012289046102238558	0.0036318931433035463	0.006080005906669684	0.003482634747847088
34	0.006075158788324672	0.0030212911800558025	0.001514291901432348	0.0039034261773418575
35	0.00717630344101487	0.0006222749367051125	0.0009959974397604145	0.0008543857436593036
36	0.010103110665081535	0.020264893296999535	0.001868698422629204	0.002777749412320134
37	0.051138809757805194	0.08143136099860737	0.01051079104241174	0.004021820697912627
38	0.09612591809289613	0.0952861624461196	0.02753830262257129	0.006748926734828062
39	0.35961075949753013	0.20986530545550766	0.11655272206397226	0.06717449952407424
40	0.14063686940490355	0.06011405694179892	0.04222414331911454	0.033521898647959965
41	0.49683749027490615	0.05840632620623039	0.07996171357687565	0.055097324301865716
42	0.18859680236293305	0.036951644898787946	0.014946110462680691	0.030256418885385133
43	0.4091979616871571	0.030207053615345345	0.06126470787518095	0.042764261835538685
44	0.13843057785347837	0.04886312148446427	0.027523930458841172	0.02241083162809382
45	0.16706735750942153	0.2579917514792143	0.0012677019059387624	0.02386664443176021
46	0.040075614353233556	0.058270522560539696	0.022847141905954486	0.015994075439445848
47	0.04430265401126857	0.05949088405262316	0.007452171157361679	0.006875999381261166
48	0.0229154410901786	0.013732514947444012	0.0038232878210258323	0.004276878349483033
49	0.030611705282601775	0.04738128350572502	0.004149854601485916	0.004458638621734364
50	0.10911488154411023	0.15111457335786294	0.048566087945216586	0.006379207498857822
51	0.18352170658349848	0.19181210818331443	0.11607466525420253	0.009461918753190298
52	0.1202388343747152	0.09000402788135255	0.05841030557143823	0.016550696642908154
53	0.23815971533771507	0.14096830825779777	0.11487471586262553	0.01942705923743843
54	0.11839766225561785	0.045860541458377216	0.02250254033183609	0.018240214258792985
55	0.3403874636816033	0.02840683881965495	0.10161303722138157	0.03296941536314135
56	0.11758509318162319	0.01577810607453613	0.014538479319758917	0.024894885331195618
57	0.24805392417866276	1.8389795196498106e-57	0.018337317124424875	0.049571074917095594
58	0.08052662239664425	0.006335382418688692	0.032481877721604956	0.01790782134772473
59	0.07987244348817636	0.007442138291073689	0.017224111035977353	0.014502846358500937
60	0.03671056272225665	0.01934700499908326	0.007202491956767385	0.008819119690959663
61	0.15721851000969547	0.07370501609569594	0.03788502542857657	0.014320825092783084
62	0.0796797667416753	0.14794095821987766	0.05026118790385534	0.005033903341881234
63	0.13696286008299124	0.20227694158609252	0.11100155518857431	0.0023785161255484044
64	0.06655675868701537	0.07765173014712717	0.05380948880650071	0.0005539246761960999
65	0.1567030145226707	0.0894851337537869	0.1266681393824837	0.007714679878133816
66	0.09157274746423157	0.06261925836586738	0.06195737521915502	0.008554111549984028
67	0.1571633778282734	0.043078032714166666	0.07081536544411544	0.016196773017146907
68	0.07776321384698659	0.022218627454672762	0.03550597049549418	0.01047535379653518
69	0.16415760945229124	0.021405210913768197	0.0735261079097451	0.009900154861983182
70	0.079370135889246	0.020009988949937916	0.021978684481524166	0.014469795094787739
71	0.11175118022072748	0.03201159777766474	0.04095625784188577	0.01397378245555428
72	0.045534285306294525	0.056641009426246045	0.01810212004863641	0.011020022140174937
73	0.10820491378999725	0.045584416617191204	0.007865742830196155	0.024995990483008827
74	0.07568662413887565	0.1570590695549201	0.051251623724432094	0.007534041449366928
75	0.08577020506500505	0.147080980447213	0.07137395804073987	0.014384500203623354
76	0.060914517526385464	0.0841376102601446	0.0482442271341645	0.0052379526997862495
77	0.2183697369438821	0.12562849495685519	0.1421418338094864	0.015163919639857446
78	0.10592005549371802	0.061056489685955284	0.08239568795822409	0.006216841803470483
79	0.13919128220533802	0.05070176424739102	0.09576317804257373	0.009027117972449308
80	0.061155186650590034	0.022762221019071594	0.04516695290837359	0.007253909012308035
81	0.10792850531872686	0.014693468101569608	0.07221061171004811	0.01355976506029719
82	0.051983834310871335	0.010429885847164274	0.04123826846506517	0.010314877873469842
83	0.08058242448544922	2.693127310300552e-05	0.06944263865653277	0.032054338596231184
84	0.03929667041332178	0.01994910055365982	0.02796218767647507	0.013005660228133244
85	0.06728715839795811	0.06450765059958384	0.03992253067405134	0.013448717815255548
86	0.058598139037432516	0.13254755614227742	0.043841801670991366	0.0035702661391134797
87	0.11980845381215288	0.13193841508255938	0.05782685912420987	0.006709208339517447
88	0.05208600531559068	0.0797672881391783	0.032777027633227006	0.004798539998780755
89	0.08421106660103211	0.10231808868156313	0.07301098964290453	0.0038658772337557146
90	0.04936624340445902	0.05626617258409901	0.04096938354144096	0.006087904383986498
91	0.14727337645472113	0.05773036304955415	0.14811683906251935	0.0054997041839573695
92	0.06138215105141738	0.027432719036963604	0.05449722952205848	0.0018603598159811871
93	0.06320536525576892	0.021833930303141076	0.05979937965629324	0.0034214331783083444
94	0.04037194727912187	0.01184877426332184	0.04237315786997225	0.005474954941144452
95	0.0719285362469463	0.009025506496491243	0.06690948738788807	0.0011730960697599793
96	0.03261578739908539	0.01151470822333049	0.029015581801090935	0.007437491965702058
97	0.049108062992160875	0.035057306641586246	0.03629385877695854	0.011504945828143215
98	0.04527821181984273	0.12789073913498467	0.044629869337715594	0.008350131073683074
99	0.054825833986973216	0.09737947847326439	0.04994518527823425	0.006112434941236511
100	0.03126789477938432	0.0497593362898722	0.030009515251267254	0.008590316955253741
