Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5
43	0.4062253460206418	0.033176113147809744	0.05442352368845285	0.04259779897469212	0.05442732133806291
44	0.13723827861477844	0.04956999964526775	0.025880379137517902	0.02252092224676938	0.01812779081595454
45	0.16347622044536655	0.2577707435837033	0.0003561743195201165	0.023189637505366213	0.0407338732118664
46	0.03910711794177559	0.05849567956713255	0.018212260573927688	0.011754991830806718	0.026506339212265088
47	0.04363393721690383	0.059605738724600024	0.004631825032576863	0.0055094682321439005	0.01585637889331415
48	0.0226475710342929	0.013868477740277363	0.0027528134913770972	0.0036196437233883784	0.006388229550179117
49	0.03014839899736462	0.04741082212898511	0.0023733074571188864	0.0037901543951097444	0.010200699403425688
50	0.10793626604711641	0.15073532274160822	0.05146584760157079	0.0127306731387438	0.0004777228614024313
51	0.18154383516601288	0.19152747297700987	0.12151856566004658	0.020029727494678698	0.0007588152201105796
52	0.1191442939915539	0.09005072410350887	0.0617244117021364	0.021683957711939667	8.300042435781438e-05
53	0.23606681245082925	0.14141451976153785	0.1188390138763328	0.02801516111459721	0.008373222581102568
54	0.11753410462288592	0.04630474945216402	0.023099916336025466	0.020286729254335396	0.006765016982200317
55	0.3384360868229292	0.03007212058520259	0.10674789072139157	0.04219145910027741	0.0041869055122942195
56	0.11670027884943228	0.016524851747260712	0.013306169481962869	0.024247902949212984	0.013966230050563688
57	0.24488909702074121	1.4352182671314113e-58	0.0006735960109655793	0.03268957807722869	0.09992446979129188
58	0.07942348333280955	0.007217865121487625	0.026789591146477436	0.012839182277604555	0.03250593386582787
59	0.07883943418674451	0.008381834496392826	0.010359288097043404	0.0088917051350427	0.035028934521124204
60	0.036241872277927745	0.019609706092178488	0.005055090299625164	0.007134125599052451	0.01234750823224153
61	0.15598734963709807	0.0742455861080783	0.03833590078399532	0.017863736872888364	0.010554026056746718
62	0.0786254802738943	0.14740664094674588	0.052923680996384954	0.01045357130353726	0.00042531251093687225
63	0.13514103668696933	0.20166813197929934	0.11591777912176571	0.012443295825348939	0.00037597078122233074
64	0.0657720315961272	0.07750188944573765	0.055736782907401576	0.004447020735653748	0.0015294516828016987
65	0.1550250392502362	0.08975063268876009	0.13033797580010628	0.014908934031213862	0.006035303027640986
66	0.09064460375901685	0.06271610353382585	0.06393546719468107	0.0121028502057823	0.0035362250383327194
67	0.15579672988858376	0.04383777055478661	0.07096028269186602	0.01865546850786392	0.014892754669033956
68	0.07706278334943842	0.0225927997790866	0.03550706987234296	0.011370765311628747	0.008021181643288394
69	0.1626312825024537	0.022550796543741043	0.07072754177011265	0.010150219216898348	0.02693894170779992
70	0.07874441371266545	0.020408753479550564	0.021881220546854624	0.0149924883257701	0.007311319821864803
71	0.1106011514023928	0.03274373700783101	0.038041653982709575	0.012816176392188428	0.022724434848802537
72	0.044684423469031814	0.05684603434363235	0.014401975751312428	0.008290629946707598	0.021535253858940256
73	0.10535826194052354	0.04669797452360994	1.8606877441384417e-05	0.014650908511868848	0.06076971262141005
74	0.07440470909987036	0.15661698869019655	0.05128613318809964	0.010281601071367243	0.012041042652005578
75	0.08405662840788419	0.14700175868286447	0.06798071266344999	0.01322772554319569	0.029778311241992712
76	0.06014903199708747	0.08390107418821957	0.050344327118428935	0.00884333003403434	0.000652238705967302
77	0.21605008372729423	0.1262046746675698	0.14384794305721876	0.021373538645521623	0.019689138194124125
78	0.1047830326873426	0.061268112122843756	0.08430691436827496	0.010323528937691355	0.006227089665052104
79	0.1376988330824592	0.051291043390941815	0.09617060834174108	0.012183876952751024	0.015528152720464086
80	0.06050742991099751	0.02300238251170213	0.04560151572428774	0.008381524538106573	0.006318806727578974
81	0.10659461890123532	0.015570223551754248	0.06860233101836288	0.01120219805363874	0.02862767961358361
82	0.05127373699143146	0.010822906929492813	0.039632584117225624	0.008923124027721342	0.01440682206681029
83	0.07876741217076992	0.004301552143332395	0.05999814695611951	0.022494532840339875	0.051738450169580806
84	0.03862248417053823	0.020253845680997227	0.02551342093726971	0.010491339095233709	0.016565453955169864
85	0.06609888972259942	0.06486215971612405	0.03549437127696048	0.010252833644790788	0.028238286190165666
86	0.05770711223035037	0.13200291064315028	0.04592336639031941	0.007898804584454857	0.0009520812622273091
87	0.11859844474068788	0.13173478475499592	0.06085635904114315	0.013136157128403415	0.0009022695991117135
88	0.051324860832433705	0.07963261699252054	0.032777462293152815	0.00635410183898845	0.007510161737958714
89	0.08309947721139037	0.1021201332347233	0.07523183043171226	0.008589025231733554	0.0038296161570493194
90	0.04877752886334143	0.0561447693208748	0.04268069752003459	0.008633301676110207	0.0005920274026332597
91	0.14560496297527759	0.05809173427362919	0.15251291403027298	0.013357868070327033	0.004041391903192599
92	0.06065411082743932	0.027648592604854073	0.05499416849459251	0.003833740097561052	0.006606799797952659
93	0.0624365897055114	0.022120241440954095	0.05994347173980166	0.004705299466847779	0.008804572771948571
94	0.03978370422548422	0.012104499418250298	0.041585545226300355	0.005021761381801065	0.010176545564428726
95	0.07106656305517016	0.009509995193864118	0.06618734374883714	0.0018449114184539317	0.013136699522804652
96	0.03213024622720757	0.01172739514467733	0.02807174575407281	0.0065584697454722325	0.009323433894437799
97	0.04811331201719892	0.03549086800079337	0.031584980763951734	0.007457150336427795	0.027655378113740067
98	0.044195663186815504	0.12750281272635883	0.043537715446867666	0.008840237557502437	0.014604880676335481
99	0.053708989274450315	0.09730666093031044	0.047836844085683235	0.005728084088126867	0.019011989411648878
100	0.030556166992610878	0.049803616599310235	0.02804433856370322	0.007094513143196103	0.01469444823437432
101	0.05326585151072219	0.07084093048545774	0.08055261400262112	0.007724706992177517	0.0006156494992099977
102	0.06343392423620176	0.06203327859442638	0.06800523543558612	0.00661072592702621	0.0009482667491402801
103	0.10124134424104586	0.04039337307580909	0.07231783528094338	0.011801259650526344	0.002341459645893008
104	0.08779103461130315	0.02614427879010647	0.03766229758020076	0.010408016927134847	0.006050612239747585
105	0.1254832394178836	0.053789674840253446	0.031246009965232642	0.005821645308836392	0.040501482649343654
106	0.04691057634089256	0.02323112022901143	0.020081243659019157	0.0015450153573495153	0.017661543817717715
107	0.05450430866778193	0.020452268620231414	0.04742738690400419	0.004631796213896373	0.017973994069956555
108	0.03186176790465487	0.016355795804783035	0.02870050336371118	0.006121408822078682	0.009488751704963315
109	0.04418617550884695	0.05157986841874293	0.03837181644568086	0.0031023944041340475	0.01793643300481933
110	0.03444082926035927	0.10088238034791817	0.03398438101397531	0.0033472369501744014	0.010612570444548572
111	0.04364701919674667	0.08795203473117834	0.04175708135355078	0.004331686001946861	0.01706895472596176
112	0.03081509423118018	0.03935785422953135	0.02514561019019955	0.0035947261699078564	0.009513469115114085
113	0.053500101126539364	0.06118436510192878	0.0483556058207415	0.008393276588193138	0.00747405139361195
114	0.03553620700650815	0.0472063394110223	0.03826659939005252	0.004749099717892331	0.00414483627111728
