Mass (u)	Comp_1	Comp_2
328	0.01592966714084367	0.01963544824579267
329	0.019171558890601185	0.025433532784504134
330	0.012672841536651705	0.021849995173192867
331	0.01666653573712331	0.037523679292225526
332	0.014076440136977984	0.031088397478601076
333	0.030039815759305553	0.04582112746880438
334	0.021132993370106018	0.035082686539562646
335	0.024474498540995964	0.05355834683727866
336	0.012872269819194026	0.036902895577951865
337	0.022802822439696543	0.047544374450349744
338	0.01366575523556413	0.03331920440259526
339	0.02017828114222738	0.027407099363075872
340	0.014878788322149167	0.02341561831794115
341	0.0201947415658499	0.016860646158794484
342	0.014283451552548999	0.026459736885482886
343	0.03643440278315175	0.019805077211187763
344	0.011904595416343805	0.04030173153881268
345	0.02014847118662524	0.032754012565935194
346	0.010952974609199934	0.049571112499153185
347	0.01922789834162974	0.03585101637716045
348	0.030620462769267148	0.048543558495882703
349	0.1382371081703307	0.006203884050319937
350	0.03148414473055943	0.036497811904943334
351	0.040113878777640305	0.023392954619412286
352	0.018019702622288906	0.021776998250480635
353	0.02189987056722197	0.022148127752367498
354	0.013694509570886313	0.020183884200850263
355	0.01631064500420416	0.030907203910800332
356	0.012880327718841811	0.02630965336193228
357	0.030726824648026556	0.03939951657124284
358	0.014968292237673587	0.032636975191952564
359	0.017897250923454674	0.04843131899938802
360	0.01302439539148454	0.03511766216135188
361	0.02124596119739181	0.04564222946878272
362	0.012416604032190805	0.03186377423928651
363	0.01911794074658367	0.030126578458029456
364	0.014449604831392506	0.024520009422259882
365	0.022058116655077786	0.01852052324152074
366	0.023950260359432318	0.022695250806871466
367	0.056033914779563196	0.012046389550321028
368	0.023074429306533594	0.03108240028289009
369	0.027540797898518505	0.0246635501507707
370	0.014952506970260735	0.04228870677502862
371	0.01872415178694116	0.0304775406508905
372	0.011091171601300688	0.04506112834273982
373	0.01848025471721948	0.030784534241537397
374	0.011398873082611559	0.04095033048953185
375	0.016646776979278115	0.027179371612407566
376	0.016336570883224308	0.024313002306579106
377	0.0193192191988251	0.022854918600992348
378	0.013095711610541147	0.01852941696463141
379	0.021228603994557456	0.024862322829969426
380	0.012606828018937165	0.022875223269632615
381	0.01923627471227755	0.03572247585458819
382	0.013087681076955732	0.026969989903546487
383	0.016195133467159013	0.041194163820453336
384	0.01778585111081306	0.029738997684358802
385	0.03361827403727328	0.03745583037635932
386	0.014429953383924856	0.028928451492901873
387	0.020238220750829535	0.030509478388394427
388	0.011917084351608888	0.02482311490752518
389	0.016336010407260848	0.02076974051164605
390	0.013064601444643326	0.022075973102646796
391	0.035745286165249045	0.012583115283973682
392	0.06468493599187405	0.01543904250643433
393	0.04382612172609224	0.016218979257339925
394	0.01651090634745623	0.03346888466390826
395	0.01926947175624722	0.02566997482199249
396	0.011553811898554058	0.04002932878538837
397	0.01716003576830937	0.02816430859705823
398	0.011855207559449804	0.03698633193938855
399	0.015510502180911604	0.028028804539362465
400	0.016883597348908437	0.024873455687583285
401	0.018010369981228225	0.02184874365934702
402	0.013730436265778818	0.017458111904924502
403	0.02311431761237124	0.020283575315595687
404	0.012494949386365157	0.020453581528102494
405	0.017856021848226884	0.030279457582384876
406	0.013892759085229123	0.023684838296409726
407	0.01946055301518716	0.03434148311104362
408	0.03349672912552441	0.022223021142407266
409	0.10802576077131623	0.016489863778176427
410	0.018542595381898265	0.025277535806684234
411	0.0287296762866359	0.027865166032726388
412	0.01341649987547687	0.02454173097008043
413	0.017226377208548728	0.021924959256040565
414	0.011468362132908538	0.02150251776688694
415	0.013799009757594566	0.017590905434503524
416	0.01274249423016413	0.024454292718779105
417	0.030943806903480114	0.016628408278440147
418	0.011753675114986102	0.03022981895030922
419	0.016401980526512788	0.023385581446720365
420	0.01270392602950291	0.03499370522331962
421	0.019477299313824335	0.023412922553286142
422	0.010774584206559811	0.03578081014033741
423	0.014108009635239466	0.026460162033882184
424	0.01222270155682958	0.02576311340432721
425	0.018019434620227235	0.01971431075596842
426	0.02231068323828134	0.016828691865332188
427	0.0420383036905607	0.014896549464994593
428	0.0163343356916356	0.015677005993347065
429	0.02545558042958625	0.020751893232023234
430	0.011903518249779138	0.019806330701582428
431	0.012821197905539872	0.02946838224017997
432	0.009580000722778283	0.023586830424970808
433	0.013701266540169666	0.031675807734189564
434	0.016720361337345682	0.021897972946393507
435	0.030335421312233678	0.026721225575655597
436	0.014792472708587141	0.02292634490646638
437	0.01768859138538372	0.022174652881861143
438	0.012427667839748135	0.02052790563038705
439	0.01706069857401511	0.015428617580834775
440	0.011397308796650246	0.020608245412240767
441	0.015788845608476865	0.017517465627853963
442	0.011235144069333493	0.025812587845505025
443	0.01502264132457206	0.020912006381011806
444	0.014065611126748876	0.028788192993783088
445	0.018297639570463636	0.02091697760009584
446	0.011173716822598143	0.031089751096286523
447	0.013488455930029957	0.022121294521227786
448	0.011604243533889327	0.02648015779518468
449	0.017477529150135278	0.021606807892606703
450	0.05553962941006985	0.009569440154875663
451	0.12967286243954884	1.983927582198386e-23
452	0.02318981775559975	0.012189212564857202
