Mass (u)	P1_2000μC-P	P1_500μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_2000μC-P	P2_500μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_2000μC-P	P3_500μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
673	0.21730898840713256	0.1078471661317409	0.2361245835942927	0.20603440910686324	0.20363560047685622	0.23502008844644295	0.15058104568128408	0.23053898962389577	0.19879870033944416	0.199660124487716	0.2320095366361881	0.11754748402846286	0.23925064060826903	0.2094060193979878	0.19227476601769067
674	0.2220906603250599	0.12354559665532759	0.22475095060128022	0.22152996927423085	0.20988961706299605	0.2513718924879748	0.14211415207789588	0.23607943263264605	0.21760595420791815	0.20266780401054063	0.23718166602741778	0.1233543075193316	0.23851049670297478	0.22061723419934656	0.19597157187875658
675	0.27188355825864846	0.17141379103521684	0.24117366796229903	0.2273401848475428	0.2298099733516921	0.26525366646849435	0.22768070207183588	0.2649284535624357	0.24719215836308742	0.2355002298244025	0.2589723824977898	0.1711485117840646	0.24300977503173699	0.23206659622247822	0.22016327333562588
676	0.2654469335064677	0.19459529936310957	0.2616007025208523	0.23946347496009526	0.2421744037181169	0.2706559847997588	0.17014595547141245	0.2718686075971071	0.24196648274577015	0.24939803433724542	0.2416874428214506	0.21528712078392315	0.2568198966644478	0.2460916851379381	0.2519656436913931
677	0.20861617902287571	0.19836421241392033	0.24383955047791456	0.20422886597960846	0.23183841045322598	0.2680736406018726	0.26347720334969565	0.24306273876691098	0.20391698672231948	0.21455591970376364	0.24186809272125387	0.28587179497374626	0.2383587520913356	0.23415735602356932	0.21824869460056473
678	0.2865439767746411	0.23367717217765596	0.2959746562555622	0.292312695505713	0.2916509747114445	0.2757264525329318	0.22068908872439363	0.26706482848560464	0.292564908196835	0.2865788705742433	0.2586307543077389	0.2289542993468302	0.23700839341360774	0.2642064961184144	0.27193757983389855
679	0.28240545713531745	0.2535557619147155	0.29305336816408967	0.28935605440722023	0.27588570254489175	0.2731715476174746	0.3362242177555805	0.2892378615897088	0.28689480585268357	0.2457742861384872	0.26895648349681267	0.28051866365241007	0.2855497733343389	0.24950551450521213	0.28169699053308517
680	0.2904046386768002	0.2311191180647821	0.2564272294181607	0.24684987257252075	0.23281208756294025	0.25087670147895663	0.3064725087537975	0.2450065461324808	0.24808635798770337	0.25563908380125727	0.23915199670428905	0.27031878193443715	0.21251780931000697	0.23372312660168984	0.2641501459571583
681	0.27291791100189244	0.29431350888109464	0.2592487035420812	0.25222065684413236	0.24166642116042228	0.2639922928249177	0.3151700131645191	0.2593121144777721	0.2554517912065265	0.25233231991053284	0.24760009542556025	0.29811165255013133	0.27730835072759574	0.2422030848886535	0.2686347170622863
682	0.3048115451719847	0.21286700367786587	0.28303583390512	0.2666663126597184	0.29008513174984585	0.28164894284632336	0.2478113171253139	0.26351165079910494	0.2812568152611619	0.2617166897743322	0.29574531547841526	0.25832535585452915	0.2645892377217766	0.2792491199253349	0.27385038647604953
683	0.2695700428570719	0.24523727535377485	0.27558351303552925	0.2337556177617287	0.22845727173443897	0.29346994294324963	0.21056131339445994	0.2778089212395047	0.26179011000000935	0.24338127856668082	0.2465924636258546	0.27245201784613027	0.2448067439715587	0.24837742328402174	0.24959872253678891
684	0.24424526375104377	0.13623644603217253	0.2291347321036469	0.21338339834084918	0.22151226128433507	0.22127507493684623	0.1530120193060736	0.21085819966839087	0.22338572574638704	0.2194921059350462	0.21560068638620333	0.14849011531406128	0.22757056130766362	0.2302331849447219	0.21203427047824566
685	0.2739616894303075	0.20670009189081376	0.24503367718224436	0.24130685843263394	0.2397587947930937	0.29883196964635883	0.2531216588726554	0.2713408621876957	0.25219229357874773	0.2287290330708464	0.2741373812348185	0.2229159558528026	0.2708554946099422	0.24178958745956175	0.2217768714774194
686	0.18259450749814615	0.14446162187388406	0.2107394238401982	0.21406574030015268	0.21711100765258465	0.219479295403094	0.14122041894070503	0.20878010817025608	0.22151632887038314	0.2585257437567771	0.23129380343097478	0.1437364619499566	0.21212302964799537	0.20633041268516397	0.21041029976615688
687	0.2041049532277432	0.1939386339049796	0.2354010611676335	0.19865157737877076	0.20660529308051243	0.24544147843050057	0.200127676631865	0.2391783405306679	0.2127046660693616	0.2158282201010391	0.2262609525043435	0.13194162423066555	0.23639112884845875	0.22258472147312788	0.21546325538353855
688	0.20191119374689964	0.13444439632948296	0.20533889800867852	0.23250700213776415	0.21901035727857252	0.21972382125333764	0.2098746310035303	0.20760173145656655	0.2034355400385579	0.23931780622613694	0.22729870894394322	0.13971760622846868	0.21545979965420023	0.21978056150936662	0.20957739750139856
689	0.25191711103020664	0.23185035910309398	0.24371374011809416	0.20795031005824927	0.2085908830634729	0.256093831965557	0.1755607163062336	0.2379769316201857	0.23681283941764253	0.21837794914564543	0.2548208535157186	0.19977975760658404	0.26110471320739564	0.219653450001764	0.2111310416988396
690	0.19007715046105733	0.07159460133533209	0.23145672223815944	0.21071912643289584	0.1882904965577385	0.21505087465426265	0.15712368820986	0.23018493853923855	0.20812231774234294	0.20186760180708482	0.21781639160062005	0.11526458759884263	0.22111208112663383	0.20370025010741916	0.19238567619334718
691	0.21164216826017945	0.1362714230271393	0.212112130810955	0.17764500101257172	0.1818196536858327	0.23330651470976527	0.11914945244294768	0.21605967714164984	0.19440998347522973	0.19024473851727577	0.2010993626585695	0.14927606929094198	0.20075110567414714	0.18981422671209747	0.17020210417240003
692	0.2605957453024684	0.17836165513488633	0.2604812482797653	0.23243220354154026	0.23882927492988248	0.24848088126445675	0.22251100281638556	0.2627754350760706	0.23247345558727836	0.24756326482869478	0.2560658254303172	0.17160786202788217	0.2820367385746911	0.23268473571690299	0.23461097294992728
693	0.19969452759628262	0.16961200311569383	0.2092783016357799	0.1797481345321893	0.15901634522118557	0.23321524905298452	0.20307106676221062	0.21754541733830204	0.18629299770620203	0.1818178005333754	0.1995221757389947	0.11377788972453333	0.2077891607148849	0.203644778812699	0.16655414476410985
694	0.22141376737327081	0.20262444800951546	0.25955309050267455	0.2515359634593006	0.23957814129279117	0.23133538357492947	0.18230304737344835	0.23602989433924712	0.26104137482221523	0.27641085833202883	0.22789714225357352	0.17691551715237303	0.23218330869685563	0.21927977944955346	0.2632621893291783
695	0.25347584675197443	0.18173478075166502	0.24956692760934332	0.2366750156680287	0.2528659347879333	0.2487160941370182	0.23835297845972747	0.24509172658383568	0.24596333793634953	0.2568484093328485	0.21202160645902343	0.18886293336306376	0.2621011487173761	0.25004550777442464	0.2573785780153837
696	0.21064270664808202	0.11384449398095288	0.21576505690938216	0.19598762840138564	0.1873590541828602	0.19890237035236435	0.12191218163735586	0.21060060469742473	0.19982899899608375	0.21226170341286293	0.2222471863951508	0.1549033403172835	0.19624212479258668	0.19666228833652696	0.2042213944074582
697	0.2675397085897757	0.06169901346150108	0.2627147902291094	0.2437355434411463	0.23544337149961023	0.2533984479419936	0.057219461442962374	0.264654448069155	0.25075720089379483	0.2016054960304861	0.2738404748158291	0.07168699229564715	0.2708107313408053	0.24712181989515247	0.23997536146464402
698	0.24034216261725205	0.10132107115669882	0.24000809570601728	0.22758396815428053	0.2235775343291328	0.26693406082704224	0.08747628452299774	0.2438400926476314	0.2335623894315739	0.18168604650293063	0.24573473402736007	0.08809587599349716	0.2617523777197931	0.23926154348441192	0.2307549862514167
699	0.18583773543671686	0.12264838591357322	0.21254115094164477	0.1984485061159085	0.20007769585684104	0.22588700783789395	0.12656260493115365	0.21224367878805386	0.20001011935312527	0.18348625798233756	0.19871779669704784	0.06812930179397905	0.21335529896728184	0.19864202634602582	0.20277588006629899
700	0.1917827697658419	0.10650839168731425	0.21952357615766488	0.20092423259913256	0.21669241113705523	0.2118704082903821	0.14539421717136955	0.2229245187685774	0.21710130747657788	0.19482790377704065	0.21966399761610486	0.13556180251765587	0.23990062831487027	0.21351740805461764	0.2163791948665976
