Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
644	0.008801175026717614	0.0	0.010486432178152701	0.013290042980205271	0.014168372717856407	0.009863160116060235	0.00153241814745998	0.009924290612529306	0.013266528476654908	0.01535628986841883	0.009788670418652879	0.0008555293878417724	0.010382227975455169	0.012407738818903995	0.014009119388555796
645	0.00894841484755127	0.0008468968501776638	0.01014664453745178	0.012859494238398588	0.013547899143512256	0.009055376801815843	0.0	0.010131800953632893	0.0123218883373699	0.014457508607126277	0.008732847462711347	0.0014818203671102491	0.009937300397675262	0.011466372683460539	0.01289930736362554
646	0.01864992772437402	0.0	0.02495187900914208	0.025976961547724203	0.0247937636137451	0.02559380645540992	0.0012512141779526737	0.025306423283417066	0.026226594323316435	0.032174770454464284	0.02361483968581607	0.0008555293878417724	0.025161380679576618	0.024955005007463962	0.023463811506536973
647	0.01780484988181773	0.0011976930114523073	0.02458118639113736	0.024382537042104246	0.022937221619532138	0.023351201943459667	0.0008847420299470872	0.026509268017188496	0.024484464340267117	0.02783162678411053	0.020958949768369175	0.0	0.02291812680298308	0.0212528972954746	0.020054956976706895
648	0.01253446888857319	0.0011976930114523073	0.01614228696749859	0.016620842392646495	0.016489246877679258	0.015804437492686264	0.00153241814745998	0.016129672940985912	0.016947000777834165	0.020876198280509746	0.01503626839101552	0.0	0.015970604754879582	0.01584225825103136	0.014988081950816946
649	0.011875369621777874	0.0016937937003553274	0.015727193481371683	0.015757044332505007	0.015606003451462739	0.015167971997739468	0.0	0.016639439183145963	0.016046088462161687	0.018963001107917647	0.013631770962322005	0.0014818203671102491	0.014247677155836105	0.015168684452099474	0.013610138556762756
650	0.007749369352650208	0.0008468968501776638	0.0097571026465794	0.011679813403528756	0.012246052112561386	0.008889079159628811	0.0008847420299470872	0.00921749402673111	0.01169530261225398	0.012759354311815333	0.009040853402472692	0.0008555293878417724	0.00939439924956653	0.010673125840218563	0.01146378842345762
651	0.0063272840798344184	0.0016937969310812898	0.007464377863041448	0.008811588102369781	0.010089107669249116	0.007145707002327182	0.0	0.008159781240789933	0.008954175918852034	0.01043799200411654	0.0064687272215503385	0.0008555293878417724	0.007191780269472898	0.008755572228927188	0.009029682517073145
652	0.0071353736347298125	0.0	0.009351596100894618	0.012461993231159357	0.012796064796066483	0.008437293866447659	0.0	0.008754424782388874	0.011845708861182311	0.013620621026581195	0.008296448052557073	0.0008555293878417724	0.00977191027525295	0.01091566385229181	0.01259390907642088
653	0.008801328225272588	0.001466868373277761	0.010073631118562585	0.012668458852634264	0.013558370199383279	0.00828135356262669	0.0012512141779526737	0.01092259273677495	0.012710547787091587	0.013470266366073153	0.00877758106391279	0.0	0.009490418304735591	0.012017118971944343	0.012933764745501874
654	0.011445253518604426	0.0008468968501776638	0.014617919335169555	0.017019183675145523	0.01746917197739311	0.013151504827879808	0.0008847420299470872	0.014365755291526689	0.017637605580776282	0.02042412042586639	0.013801505463949157	0.0	0.01418216365250285	0.01588091649053078	0.016704135425381125
655	0.012039036727390111	0.0008468968501776638	0.01601723793800899	0.017954379337105256	0.01857137362474191	0.013843189925715824	0.0	0.01602277099959875	0.01834582121585988	0.01892871697639737	0.013816939176576767	0.0012099012632945862	0.014697652590594395	0.016761289621301242	0.01834502513881466
