mass	P1_500μC-N	P1_2000μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_500μC-N	P2_2000μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_500μC-N	P3_2000μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
485	1.6896381041389836	14.638533110055603	19.633591351910503	18.489281085084635	19.879187696549607	1.7718865224831297	19.199421257944614	18.748443632894347	19.123095825412506	21.398820106972803	1.6770824836682732	16.640797761427613	19.56293232763966	21.81954402787431	20.822142561981142
486	1.209611483019766	12.018737061575715	21.37053029356043	16.964238054869114	17.250611959227736	1.2909157784109437	17.54710515279238	13.462760919170584	17.62323219820463	25.00178016731434	2.107535183380683	14.398017413254333	17.477577279929157	17.348038786790543	16.76013555887881
487	1.6918824047281464	11.532118590220755	22.43655036733777	19.205994222428206	23.7924097025615	1.4972323731376187	13.703735757263917	17.24688916496914	17.420376400480173	23.548338710224172	2.2721978251014043	14.206327603719084	20.80629118688999	16.497746282586238	21.851566474380732
488	1.530929830378518	11.000452244901073	16.2962568054227	19.918914093224487	17.947050098902736	1.8389034361417758	16.584914899319312	16.45060737272499	18.65950029818317	19.392346845981315	0.894603866555064	12.612466104120587	15.394242572115308	17.312501652950637	19.472880207461447
489	1.4439738224213423	8.860167395451054	11.83456448498566	13.192951659169205	14.361206630225219	0.7286431731837134	11.336763418671499	13.766184640124283	16.90899031158474	12.649404311702872	1.8370382072838516	9.740123933693724	15.394022709289313	14.225657156282418	12.288522523577
490	1.196056043103252	14.263519057508274	19.93545433467878	18.896597933977013	23.038480867007433	0.9647779508920776	17.011135627464625	13.55525757476234	23.306465858505156	18.411907432833004	0.0	14.210902485795138	18.474316811686872	18.983521096590824	21.90139224685029
491	0.0	13.413580232788723	16.234453897802684	17.296849159564523	21.694129030782175	1.1859162618874306	14.18931638583018	14.678338387771895	20.12163872417868	20.248259175069244	1.368729837240518	13.631905974893657	16.27073566393064	20.13007086710825	24.315904879513116
492	0.9740014173987399	8.973666012131213	15.187177628311975	12.398190750455385	14.537405696934602	1.274646899304315	9.324344814278824	10.81149006960479	11.647630145802358	13.178078981690206	0.8529671125739424	9.443418685188968	10.517773336773919	13.55551957241692	14.489914525981417
493	0.0	8.04571880089569	9.07565243648815	11.696078727463457	16.591871071873182	0.0	11.824649072819925	10.458311536452538	10.91879626245882	12.41168181003665	0.9667960259291596	11.818965890427668	11.059900671278834	11.450305503552627	15.163095837004137
494	2.115023136900546	12.025302557735495	11.646514251727806	12.796475177454555	15.358182833984763	0.0	11.918920791912663	8.667841307084272	19.282236617285907	18.412390657796713	0.7954201816440797	11.680761307240228	15.301576520694178	12.68882213046766	12.178581290541077
495	2.6881911801899814	9.81092427513571	14.21706221386557	12.250960194631466	12.795340987568897	2.0282239528567274	11.032947387476435	12.443235707254686	15.066207955944659	12.676129613329751	1.6254926009499782	9.493055291783085	11.476014011381446	11.247093229719754	14.656537576982094
496	5.10951841712997	8.222860643787165	9.381512020173204	11.834243414421742	13.538441061055504	4.404224924672504	7.251706873557721	9.719584745033934	11.744281304413825	13.527840718019585	4.257753509457565	8.442909259187374	9.686717872587378	10.515652498776562	14.34676547281631
497	4.766313884827588	8.748335228624992	9.813390660293168	12.534602427446046	12.220767557064175	5.929090877483048	10.935781570004512	8.818444458890697	11.513430381638198	18.299149743824586	5.648720487325613	8.179981088442345	9.336534004430645	11.593125120415712	10.466440952565547
498	5.137459930121393	14.321364595203567	14.444570951280323	18.467393773230636	22.061195821962233	3.8042727500607785	13.791664971000936	12.191920943420419	17.182016007413978	20.030652377067597	4.601049520198773	13.08145476651364	15.710039370148577	18.817632911612638	20.413424948831754
