mass	P1_500μC-N	P1_2000μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_500μC-N	P2_2000μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_500μC-N	P3_2000μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
680	9.113945517553923	156.16434703068586	206.4996725018768	776.1537831579917	433.4068608099928	2.1289271882722005	248.6039662417915	364.87466649331674	707.3923574542548	852.5978360283607	2.69203866645727	255.11856521951836	306.7807474108953	457.4445281095749	713.476987275958
681	3.2639934592511866	103.05767359992895	272.89589749468024	280.5725736740265	343.03973143199255	0.0	197.63682027702077	259.4426805970307	325.1756921821663	638.646350220945	0.0	112.1135097325942	225.45633997890397	281.43499272144874	455.40206133109575
682	2.726617212479223	120.49214815083862	291.9223204418634	362.5607008753525	376.961572188257	2.936047995662507	210.50058096938915	313.70092637418526	421.86967132833803	926.2473998510599	3.1540672926175417	155.23303963275802	225.81660543838908	228.00054119146446	366.95839866562363
683	0.9655811238720474	68.58417071428896	138.0943331521251	222.57769569960618	244.60802174944953	0.6478157144960521	82.29649182137949	210.4951404500147	199.19735035299712	577.4003566675296	0.9240418973431577	112.07784325713244	121.57033666864952	210.42880435758147	179.41691635742723
684	1.0398427385450728	127.58088704382193	207.20718230195544	430.5017254344984	321.65526113213514	2.178426582603676	135.26297668726716	198.89211810462712	433.2990854336227	812.5590416837528	0.8950470893351031	179.52321631822304	123.29975097138605	194.88083663129876	266.68857275029865
685	3.5349702141003068	77.69589772259263	156.35758175810705	173.11808309676178	243.12561842854373	1.1938111451588185	100.06106392567104	192.00162303044164	144.4017633576072	783.3578244791047	1.3332006523933944	116.32032715207312	103.56750328345463	150.30818767348484	253.11821398651395
686	1.3111761166040812	260.3545936650694	355.22542335324493	631.9351130617288	957.7307863879026	0.0	220.4662960398608	356.4064732320503	1307.4519742734851	1320.59691182938	1.1927252986218426	406.97105820696436	359.1830153215635	939.0825193708375	1302.9925308225888
687	0.0	376.7807872037845	349.36115425258987	556.9720991094742	1059.353893089571	1.406316740142283	419.374307033979	575.2490230786126	757.5465524056468	1044.5868752885592	0.0	285.4396945505463	425.0030573160111	760.6865661652713	1568.2158212135653
688	0.8237864524452745	234.4803342407328	323.65094178959316	520.7547382589858	801.8896273215466	1.1233754508894336	305.5694686910042	433.404187804066	530.8085005715334	522.9247143385819	0.0	392.9952295782358	435.89185348658185	565.4283034302897	566.1436725884879
689	1.1892447661730092	149.14007288369342	279.5305151546269	373.14214024929134	547.0987665803972	1.479735317002614	307.3491882107552	211.7645669498335	442.79666938863863	705.3566532993863	6.848508881631455	226.90519033175428	214.34958202035574	386.1608952447173	315.5914531596893
690	1.9924140835339066	214.6427910999743	359.7912071671679	654.983842469043	503.093709796047	0.0	317.460773140691	382.71771064481635	669.6411724128859	740.0247623040865	0.0	315.9204754003585	312.46521662467273	457.4954680033794	632.8638127797917
691	0.0	138.93093996787752	366.1116900189273	555.2399413491884	570.5858317932232	0.0	183.54224880584005	332.0337128471668	383.73322134488444	524.4583789282445	1.6985875968162216	210.51627484402306	199.1650071287772	265.10400449068936	678.2149778569127
692	0.0	107.057536044964	434.77189510158587	521.3227341556944	617.2280491241805	0.0	386.85979588311534	255.6770805138559	986.5794635699804	995.1147437983722	0.9180067790162735	201.6664078157667	293.3183736395118	440.0531455612086	730.2581924203131
693	0.0	115.6386297046382	109.30902754734883	330.73283367233404	337.31615555145896	1.0599583777586292	138.19060567397617	266.38817730254647	216.05493784474922	835.2161643102369	0.9783787789598533	175.7675574794486	175.23084088231926	293.04697788430946	363.3098437365768
694	4.268557526469257	258.71861012699463	569.2410246169163	864.2342022975826	1519.8134458539316	2.3228976271431274	320.26647428454714	763.2134479291001	1205.1572579699418	1625.496224110431	2.6818384800551343	313.1304788253419	559.3994284957922	1086.9678371921302	1193.028120210707
695	2.129400264779725	179.9446112925298	170.00762232551594	506.7800930966422	818.7356371238005	0.0	369.53337907731714	260.04194257663363	712.394962998624	1167.3865259181127	7.19875962802286	142.8661258295489	200.03698374651066	622.2958355807895	481.3774743056504
696	2.7703519701474892	101.2231281963105	197.57432434616587	339.07770034158006	382.3293915680034	1.2736018985202846	189.79682687076522	167.99126033053398	504.7710961914808	830.4012069245488	0.7854079391397832	107.1756222919475	124.7242877185542	228.03181677277806	504.49835290791617
