Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
432	442.0877317751592	2.000015258944285	894.3978370915423	1607.2707563889726	2059.121490836517	726.2510234619627	5.000038147360711	763.268591492763	1726.487099138297	2364.744910973804	671.2193334847012	5.000038147360711	883.3661997391631	1587.2644797628611	2110.2504396071954
433	1173.9912583684793	1.0000076294721425	2226.631809440942	3949.262000484111	4836.413039930538	1687.0465747760086	7.000053406304996	2417.9735293360204	4038.014826043014	4909.587806639652	1632.9810928384286	2.000015258944285	2065.1333557727216	3730.582879869469	4843.70280831304
434	287.0348948356027	1.0000076294721425	506.10360343822936	816.2616212233435	997.3846915787487	450.0832256545298	2.000015258944285	485.0905583568745	877.3066247868928	1276.6600072349595	349.04969902082786	6.000061036087587	471.0933997641108	815.2570629319903	939.3410353985404
435	329.0567364643336	6.000045776832854	519.1476269815812	893.4364136050997	1059.6242543417904	491.1267872154315	3.000022888416427	591.1821868625104	966.5070796866328	1268.8611600558638	445.1065149389372	1.0000076294721425	502.1306870873071	808.3504508096892	1030.5945562886086
436	197.01816803520163	34.00076296910084	350.05164586014	581.1400190398955	689.1927341300049	346.05202773536473	34.00102240018054	398.0639935495173	658.1724808269043	1167.6081184228954	282.0372536089663	29.000663779133117	384.0642994902144	570.1373251858778	708.2045264550193
437	182.01980870919675	103.00785150998452	367.07316053606655	558.1812844020129	674.2423220029308	375.0794500646954	79.00486034768946	423.1105614194466	552.1699850057296	917.4748704435752	270.04661043131915	95.00574546488453	337.0662318560442	461.1160709186101	581.1900543348265
438	133.00858394446158	51.001411491773226	269.0318425333081	412.0697327488856	513.1140394141763	231.0258602169758	34.000732446865975	241.0239669978516	466.0905230043098	806.2810869369234	230.0231966298952	35.00072481242666	280.0356509766986	401.0768716863877	470.0889960874255
439	181.0154664066264	37.000923191275504	326.05031778719115	514.1214476857851	599.1685973490537	311.0452580372561	24.00059511512562	394.0698233857689	544.1372629512358	880.3743976131401	239.0296141789542	48.001922723839634	297.040785940281	508.12309799335645	545.1312239440141
440	309.03948863125737	13.000129701647316	559.135640322979	991.4397388879906	1221.6293699687592	439.082990318941	12.000152590684635	497.10289537018895	1064.4872130273836	1522.0109646710284	432.08064752695	15.000160219846332	585.1470757129055	950.3839157385174	1228.6705199459211
441	511.1646769310671	11.000144961678169	691.2813424002286	1289.0083132561203	1577.540599076625	555.1804077047296	9.000099183758746	757.327307889071	1312.0432510553242	1802.9309848370117	479.1459995577222	10.000106813230888	624.2403360431101	1142.841844212334	1515.4327420047607
442	1328.1556763485617	3.000022888416427	2588.569937613076	3106.14759818552	3253.760289442172	2471.2602972193167	7.000068665559729	2593.620769999322	3554.402116995724	5597.291624133174	2219.3428754714982	9.00006866524928	2595.5169414620336	2871.3621162187337	2782.772790264737
443	1694.3036092861614	3.000022888416427	3288.819591982577	3882.879556527204	3814.3761749728624	3151.083704954825	8.000076295031871	4033.143659338657	4048.0564728289246	6039.614579206855	2588.5203433465854	8.000091554286604	3026.53220071954	3327.7511585352117	3043.036702668824
444	632.2093548415452	6.000061036087587	973.5222544307884	1368.9861041288468	1437.0334419456933	1077.6520023484122	4.000045777143302	1117.694552154255	1529.239966931267	2602.700180840969	892.43420938995	5.000038147360711	1015.5917492521276	1220.7629723752812	1181.6992199707995
445	710.358853215172	14.000137331119458	1388.3488542432738	1529.5869869423675	1658.7197101716788	1276.153714207516	5.0000686658701765	1583.568908404466	1694.881026556572	2643.875144255169	985.6669918172336	7.000053406304996	1193.9557547483716	1280.044047542787	1375.1022987523068
446	303.03832868844023	7.000053406304996	493.09825233428	799.2514001310417	982.3782704982716	455.082789355029	4.000030517888569	539.1156990816716	864.2897422738116	1280.6445092650715	396.06574818255	3.00003814767116	472.0927354529947	730.2095418588079	901.3244539091048
447	222.03034013296244	5.000038147360711	415.0941806350711	676.2586477339124	798.3793196548813	338.0612476486923	3.000022888416427	474.1276953882126	707.2787027284237	955.5091990289402	342.06413197917504	4.000030517888569	395.0883345625867	565.1787870671959	689.27625150421
448	222.02316630032516	3.000022888416427	413.0787793837685	822.3187311399314	974.4428118534886	368.0631254020254	5.0000686658701765	432.0807102195212	849.352371910009	1162.6130563912543	343.058860123783	5.000038147360711	453.10396903865217	746.2651743800842	981.4672517010154
449	402.09446660859504	4.000030517888569	720.3140959412826	1244.961207787888	1617.5454196128198	563.1830077630239	5.000053406615444	771.3311966114361	1315.0709021313	1690.712389158054	484.15657706188887	16.000289924287678	659.2709674633592	1176.8786571144708	1527.4697604239127
