Mass (u)	1-P
673	144.01561201579287
674	149.01218539520204
675	116.00885097840336
676	99.00531804725364
677	51.00180825428286
678	96.00526468316977
679	66.00289933896045
680	84.00384546956585
681	61.00283070289328
682	80.00375388764938
683	60.00292992593174
684	114.00888158062362
685	81.00560820597394
686	68.0024873108319
687	55.00232709905722
688	64.00231946011648
689	67.00293749765267
690	125.00928590909618
691	77.00431098317354
692	106.00659234388361
693	59.00284598760474
694	72.00262463651852
695	69.00312062702578
696	85.00412776655452
697	800.342846955394
698	399.1774742618216
699	114.01088103205811
700	92.0052646968298
701	50.00239579907667
702	66.00250257365678
703	61.002449172163736
704	83.00424987862233
705	67.00281540778187
706	80.00372337379666
707	44.00131231329209
708	85.0044177343053
709	61.00316644188847
710	107.00644739012225
711	85.00605074047482
712	84.00421172055181
713	120.00738585231035
714	1207.8705216598057
715	1257.9946468714988
716	208.02188417531184
717	153.03314382052824
718	85.0044177529318
719	63.00290699978783
720	48.00154120894294
721	28.0007477145028
722	94.00463898511698
723	92.0106828286418
724	56.00181588080574
725	52.001678542080306
726	129.0098352812065
727	73.00531822825201
728	61.00266281663149
729	46.00167856769227
730	68.00277726321525
731	57.0024644613767
732	334.0688517817304
733	170.0626367550241
734	147.01217017723755
735	91.01180490764555
736	58.00184639062266
737	38.00128179943935
738	46.001602262570835
739	61.00234234015096
740	92.00402855609725
741	52.00267049794845
742	77.00341053672236
743	42.00166331837187
744	73.00298325353019
745	38.00129706614483
746	63.0022965620761
747	38.001342841580666
748	44.00126653645926
749	37.00112157136614
750	72.00347923441345
751	30.000930829905865
752	55.00176247077537
753	48.00146490614987
754	71.00357845558138
755	88.00499000245892
756	4086.4383836511765
757	1360.0677463851268
758	275.0404663589363
759	122.02512376578461
760	67.00254071511905
761	42.00134283490604
762	70.00280777256637
763	38.001220758229366
764	120.00865259073007
765	72.00689791573001
766	36.00091556087202
767	32.00074770549981
768	98.00643982057345
769	45.001518319595164
770	56.00242628592044
771	40.001190239409524
772	108.00650079131896
773	57.003303896915284
774	169.01728287463715
775	71.00421944208573
776	90.00518838503314
777	51.00202192204226
778	62.002456790459746
779	28.000762966306784
780	60.0018769102187
781	37.00087741211436
782	47.00147253406977
783	18.000305182766294
784	39.0010910497522
785	32.00091556987501
786	66.00309773022724
787	32.00125130141945
788	72.00326557551013
789	28.00086979319738
790	46.00125126758062
791	23.0005722254674
792	103.00724098655908
793	23.00060274723657
794	58.00209055965369
795	30.00090030394565
796	52.0019532277582
797	43.00124364074728
798	67.00254070906526
799	564.1693266406168
800	165.02838248478153
801	66.00349455094583
802	52.00181588142664
803	29.00077060183266
804	49.001640393943504
805	28.000564591338538
806	35.00084689298393
807	40.00088503755061
808	43.00185404679346
809	23.00041962733201
810	43.001503066704615
811	23.000755345837657
812	74.00428810686955
813	26.001007160328804
814	22.0005188159027
815	64.00248731843789
816	1006.820066892507
817	440.7504832115712
818	128.0125292044964
819	75.0149650507501
820	22.000381479350402
821	15.000205998541874
822	10.000137331740353
823	14.000213627393121
824	47.00237294512725
825	43.00423490318402
826	9.000083924504013
827	16.000228886337403
828	30.00071718683512
829	24.001113958192736
830	6.000061036087587
831	9.000099183758746
832	10.000106813230888
833	17.000434890777793
834	71.00475359377809
835	125.02606061109752
836	27.00055696466043
837	54.00431868855498
838	10.000137331740353
839	4.000045777143302
840	3.0000381476711597
841	10.00012207248562
842	7.0000839248144615
843	20.00045778012556
844	3.000022888416427
845	4.000030517888569
846	1.0000076294721423
847	1.0000076294721423
848	0.0
849	1.0000076294721423
850	0.0
851	1.0000076294721423
852	0.0
853	0.0
854	0.0
855	0.0
856	0.0
857	0.0
858	0.0
859	0.0
860	0.0
861	0.0
862	0.0
863	0.0
864	0.0
865	0.0
866	0.0
867	0.0
868	0.0
869	0.0
870	0.0
871	0.0
872	0.0
873	0.0
874	0.0
875	0.0
876	0.0
877	0.0
878	0.0
879	0.0
880	0.0
881	0.0
882	0.0
883	0.0
884	0.0
885	0.0
886	0.0
887	0.0
888	0.0
889	0.0
890	0.0
891	0.0
892	0.0
893	0.0
894	0.0
895	0.0
896	0.0
897	0.0
898	0.0
899	0.0
900	0.0
901	0.0
902	0.0
903	0.0
904	0.0
905	0.0
906	0.0
907	0.0
908	0.0
909	0.0
910	0.0
911	0.0
912	0.0
913	0.0
914	0.0
915	0.0
916	0.0
917	0.0
918	0.0
919	0.0
920	0.0
921	0.0
922	0.0
923	0.0
924	0.0
925	0.0
926	0.0
927	0.0
928	0.0
