	PC1	PC2	PC3
m123.000	0.01583321048411296	-0.03196269767242078	0.019362925766415472
m124.000	0.010262374156625115	-0.013006086620481019	0.008705898169757828
m125.000	0.019015971543396504	-0.030359562349799706	0.009177837135062112
m126.000	0.01408317028339098	-0.012789320159204285	0.007485056969475256
m127.000	0.04622846106596967	-0.01545275031702202	0.0050287099346186664
m128.000	0.01347802189515176	-0.016518184899516855	0.008799635960905647
m129.000	0.03497918763543375	-0.03441929781295492	0.021762033202829496
m130.000	0.019407109686912564	-0.02193960116824276	0.008891554563091915
m131.000	0.03728333166239543	-0.023197690057845857	0.053211692281079026
m132.000	0.00676638601507829	-0.03081276883290833	0.021578685424450534
m133.000	0.018667616290999948	-0.030610329725638652	0.047249547686635106
m134.000	0.02776474173229702	-0.03263123266687111	0.012029776190884316
m135.000	0.022863666227934207	-0.01977905850650997	0.024599081869970587
m136.000	-0.05442901429426783	-0.05625348571808552	0.07450565925294209
m137.000	-0.031060088608477445	-0.07278952869870996	0.07925846608763701
m138.000	-0.025572102297375422	-0.041000253570811426	0.05596608949621127
m139.000	-0.0035923298396216526	-0.018401653830490448	0.07482950277246475
m140.000	0.002919041271535991	-0.012085320604585684	0.03549376566394815
m141.000	0.017374486873773663	-0.01836370063744618	0.03580372171417272
m142.000	0.013031917277730232	-0.015032284594897756	0.014803088284886304
m143.000	0.041658842971296205	-0.030732153063526068	-0.007435956317159177
m144.000	0.003139618525999259	-0.029676792369983666	0.013946462328035605
m145.000	0.03631666791177758	-0.043563079518193173	0.03730592095600491
m146.000	0.010780804324201509	-0.023058998581678918	0.006766206653069672
m147.000	0.028183798726442638	-0.03754773764784732	0.064636699209359
m148.000	0.013463494203798432	-0.014379594276871223	0.016992154232997575
m149.000	0.03815095432379332	-0.026920747092372566	0.04892578059576815
m150.000	0.016513677590658145	-0.010716902458243083	0.00907975055883688
m151.000	0.027743885146307934	-0.024463984127715645	0.035335086905842715
m152.000	0.019187443555574498	-0.0078124449462452375	0.03730766516460936
m153.000	0.02610258904516473	-0.022271338293340583	0.02350967910348888
m154.000	0.017675109947486698	-0.004756439398889041	0.022796542240835993
m155.000	0.04998479276871694	0.013391634534252912	0.0995711552288298
m156.000	0.010592459160216287	-0.013181623537266577	0.02146788998421225
m157.000	0.029935265658227867	-0.0012075010967119262	0.06660748342825573
m158.000	0.01401579375002256	-0.028473549429271362	0.015212603027642036
m159.000	0.023383290449912875	-0.026264707843621164	0.023923588917164666
m160.000	0.015779811328069368	-0.01670821910556892	0.018924223643001458
m161.000	0.046783393090473094	0.006322902507235852	-0.008702801969995944
m162.000	0.021386269949771816	-0.0058312514862633585	-0.005144116195547278
m163.000	0.04439369775606964	-0.029905108639236386	0.00010264020912195255
m164.000	0.012396419221289395	-0.009541773796811466	0.01000025569881025
m165.000	0.02822577996006153	-0.020851015541475698	0.021890193561733072
m166.000	0.013080721134255263	-0.014378385759528847	0.01537277357954749
m167.000	0.025794191451492615	-0.020950812814936843	0.03886006361000755
m168.000	0.00945649398040761	-0.014359628700227932	0.018430000591905724
m169.000	0.022566540895706175	-0.03699136055439605	0.02572804956116187
m170.000	0.012872639912136741	-0.01645599295877804	0.008122327003867998
m171.000	0.03216391582124379	-0.033402203937575425	0.016848718239078627
m172.000	0.016644702117469542	-0.016258817379962005	0.01899578757468735
m173.000	0.04496595430749857	-0.011249938695402131	0.06512538690131361
m174.000	0.018441725928831726	-0.014924464790568245	0.009909617747214036
m175.000	0.03336351254216639	-0.011368871314096848	0.06349781023978279
m176.000	0.02567304011558206	-0.010718522012858809	0.008214243048561812
m177.000	0.029551977403239008	-0.015103822447045494	0.015628345266587785
m178.000	0.016491997454128528	0.0023661151275035986	0.0033768318181653777
m179.000	0.07592721886591616	-0.012121450719211465	-0.03329990319968786
m180.000	-0.001966029144544579	-0.023372443588240865	0.01818064903772206
m181.000	0.024337501662649596	-0.01868686046790508	0.01913015141978894
m182.000	0.00942637476535756	-0.019886596223375408	0.009755354084629242
m183.000	0.023017818287566043	-0.012481737191204337	0.01941539132361483
m184.000	0.015422685349342838	-0.014900073588361925	0.004334119766152396
m185.000	0.013561961934244315	-0.02691459188768228	0.02065130743367686
m186.000	0.016551554889681033	-0.01718045421270346	0.003438788362511541
m187.000	0.04578586299781732	-0.03820542522487178	-0.012873762078131306
m188.000	0.024546551161437283	-0.02332730297875353	0.008828256311374773
m189.000	0.038771184504850634	-0.022610715177948104	0.004992010770917217
m190.000	0.016960160340248505	-0.012117129794188096	0.009349087480298003
m191.000	0.03483680403014535	-0.019614183535692338	0.02922854753873842
m192.000	0.012711440693000366	-0.010660219882827915	0.008622208876048913
m193.000	0.018366792897905593	-0.018364907971357734	0.03653139504836088
m194.000	0.01376804045760379	-0.009131371685556654	0.009159875519943683
m195.000	0.02832607174016725	-0.01733957178245106	0.003216389197926211
m196.000	-0.013396092169974637	-0.025429807289748148	0.03593516907715848
m197.000	0.0004400694412658759	-0.032403830612626264	0.06656520569696292
