	PC1	PC2	PC3
m59.000	0.051731244199571244	0.009180223993215096	0.009524024311955608
m60.000	0.003872629504937563	-0.004374385552381839	0.010862320946043424
m61.000	0.02685893383956946	-0.018433595251807797	-0.010050160507422619
m62.000	-0.12145547971696623	-0.01062749043664655	-0.01893678728493498
m63.000	-0.1409510775584064	0.050322829680398695	-0.07411583213542962
m64.000	-0.042613091295917074	0.034689788484067806	-0.040138842987206526
m65.000	0.01725367345630331	0.13396433014591974	-0.09792250555810082
m66.000	-0.004034925422039756	0.052960218417658744	-0.03834116568770291
m67.000	0.06954791642385245	0.05971580311516365	-0.040497056044989606
m68.000	0.03355782698566023	0.03155531968273275	-0.016050111171910127
m69.000	0.10158691478290448	0.06999118914482556	-0.05644395385868056
m70.000	0.036108297412901655	0.009507156917014323	0.0028283026521434516
m71.000	0.046738090173521755	0.026613139901403394	-0.013901135901005732
m72.000	-0.035002702059340904	-0.005047778424914434	0.01169858132415862
m73.000	0.024054928378513855	-0.02903183003867987	0.045405106764364496
m74.000	-0.135413560111438	-0.009484121971632387	-0.01117758866360166
m75.000	-0.11249105791429409	0.034728105086224544	-0.017042275911239104
m76.000	-0.05516244977566407	0.026042929014417474	-0.025716453232470196
m77.000	0.01892604350821033	0.12604295977317262	-0.09689317634129055
m78.000	0.010625885963919657	0.08471261442628457	-0.061388776834332415
m79.000	0.04959919387616858	0.10486758559971521	-0.07151423426310666
m80.000	0.021827688370798674	0.05341960939110386	-0.02874316154911714
m81.000	0.06962319672932356	0.09484732859135994	-0.044489711147961464
m82.000	0.030505997099232688	0.058558758977985174	-0.019707060963878392
m83.000	0.06545290537212511	0.11873234180065663	-0.0033762637780220066
m84.000	0.007908838436502622	0.0354936503069426	0.0001328897695529255
m85.000	-0.026242419788415756	0.024778121357487762	-0.0032038096334695834
m86.000	-0.11826964822858191	-0.007561953854224147	-0.016056601052169397
m87.000	-0.07135217511293651	-0.0025744586693106962	-0.02942409333212041
m88.000	-0.05801048612252336	0.0031142673236209287	-0.011384346449516672
