Mass (u)	P1_2000μC-P	P1_500μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_2000μC-P	P2_500μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_2000μC-P	P3_500μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
649	0.22898664110203504	0.19730117370306383	0.2508625535915789	0.22351641995188584	0.208684499592743	0.25651627956016343	0.0	0.26541367401373817	0.224736930993356	0.23280149033344366	0.23668651694618456	0.18066803646434024	0.22904934271972352	0.22039432861517644	0.1868102985058574
650	0.2496035921641175	0.16478631147289582	0.2599722198653104	0.27675281054095874	0.2735369854961686	0.2511109479475205	0.17969176065343365	0.2455946678560983	0.27361391916058664	0.2616548823362603	0.2622117354546902	0.17423771092472723	0.25227572152077987	0.2590392579101111	0.262837840050245
651	0.15484686151657406	0.250410514260725	0.15111246440043194	0.1586393518015329	0.1712274201865651	0.1533750374806946	0.0	0.16519054566749422	0.15916697012378958	0.16263638355662036	0.14254833168604533	0.1323862133486139	0.1467382911106535	0.16145782423327049	0.157301481046338
652	0.14453303320262362	0.0	0.15669593754581088	0.1856990037458406	0.17974727335480767	0.14989183513261944	0.0	0.1466896970474885	0.1742824695416673	0.17565599731571369	0.15132156466816854	0.10957414338094637	0.16502579809309909	0.16660576985534012	0.18158760820716055
653	0.20099221360089006	0.2023616937264433	0.19029994286917384	0.2128268740400837	0.21472073576013367	0.16586576119826488	0.18017299898582112	0.20633759061927207	0.2108324893939346	0.19584968381127454	0.18049454972432666	0.0	0.18069175847740926	0.20678587204525353	0.21024768876585742
654	0.2053039191632829	0.09177163842595548	0.21690970432244408	0.2245857586171312	0.21730995716823504	0.2069053284078576	0.1000726767861579	0.21316793869265777	0.22980194621501238	0.233254945541036	0.22292383824904843	0.0	0.21209786111382298	0.21465295520879735	0.21329028886404394
655	0.21402660027588505	0.09095208848525789	0.23555115553227085	0.23481080388461098	0.22895784242391337	0.21584231702488693	0.0	0.2356325253075182	0.23689474310546726	0.21424607104270832	0.22118011867928242	0.13600306564974593	0.21784418154399254	0.22452925272763102	0.23215047786864007
656	0.24886517630044758	0.20232488305680238	0.28209713858717383	0.3065194053738269	0.29059437730635196	0.2649062610637837	0.22062581615862417	0.2824901406094242	0.29777106779328766	0.2987192571194772	0.2529341044425737	0.15127087684969195	0.2783279930707204	0.28972577145210976	0.2959510223012457
657	0.16367998502528847	0.0	0.19714372256008877	0.1990207383001825	0.20041711715863816	0.17815331725464484	0.19196018744843593	0.19476055137157458	0.19897343504209375	0.1882997361167575	0.17438319804616725	0.18613376332933107	0.16638347468085884	0.18812993410526085	0.1918954646471131
658	0.17429834897534796	0.2908563797795924	0.1894954558311742	0.17965296004461861	0.18976682992843213	0.18162598438238192	0.2836812415791653	0.17250652566932298	0.17963558662938814	0.2058909021308885	0.17475841162850805	0.30753858962966646	0.16325594027885196	0.1877629350035149	0.18714179964253852
659	0.09516923201739397	0.29780386076218784	0.11803760280767521	0.1231027434766066	0.11951091254510382	0.1079655562672252	0.21259330983573374	0.11982354591820975	0.12839250193329513	0.1310397176900568	0.10438941290893794	0.20614114822317892	0.10808480614827827	0.12202934482152109	0.12313661837463703
660	0.2181539012778121	0.15509535737498018	0.23550243720349773	0.26594711715546765	0.2666454214383419	0.2255045513684914	0.29293175698036084	0.23162479456573323	0.2646458784789711	0.2797170381338295	0.24262397475061842	0.1639909274170136	0.24273550666002658	0.26496912781116744	0.2793440446198839
