Mass (u)	log2FC	p_value	mean_500	mean_15000	std_500	std_15000	n_500	n_15000	t_statistic	q_value	significant
105		0.004232812931005042	-8.336964542005129	1.6262630220882635	0.31177087287830724	1.3414226147919142	3	3	-12.530575154810302	0.010842610901343246	True
106		0.0007707792496805097	-4.8960516907087746	1.818011914217471	0.3439155784605432	0.700587699400477	3	3	-14.900519308257712	0.003913539880818303	True
107		2.2050379797708274e-06	-6.412548435512714	3.4891069956858836	0.23302453037625878	0.2909046486597334	3	3	-46.01259791195585	0.00021483417087820155	True
108		0.00046447378618711646	-4.194039995105348	2.796986047294981	0.4162748668069115	0.13110293443343654	3	3	-27.74502547534924	0.003095282340762581	True
109	-0.8698055939695235	0.1137334903658831	3.077953421058099	1.684319470786005	0.9401052127210353	0.2886281237245369	3	3	2.45455492205947	0.14330083793515255	False
110		0.0007124470752157589	9.810408114745682	-1.384867790432087	0.8967704704043838	0.33139306640004806	3	3	20.282332681134932	0.0037283273322640635	True
111		9.703613834403163e-06	7.99302940639777	-0.4433650567009377	0.3170208178951209	0.37462097307262987	3	3	29.774907838865968	0.0004352912812656047	True
112	-2.6439093906689224	0.0017689195738470396	3.6172919431854744	0.5787453685891228	0.5191331183477175	0.3761548464162463	3	3	8.20937356906987	0.0060597927569940755	True
113	-1.0072370782982958	0.08770725787080023	3.270275146522535	1.6269556726490102	0.7774349975901346	0.9741510293790734	3	3	2.283728212604053	0.11404617524968384	False
114	-1.6657698335088125	0.025214061969274542	3.7820662720895855	1.1920169990556935	0.0680622549472594	0.7383747309846725	3	3	6.049988517397954	0.037666540910317306	True
115		0.00479358229233241	-5.006590809831621	6.220073596923167	1.2026538627596903	2.296204038360052	3	3	-7.5017283303816775	0.011532888077087423	True
116		0.0032136767593259922	-4.446924161404319	4.498198635503227	0.7928284265494714	1.5653283471373631	3	3	-8.829865680049645	0.008958386521911998	True
117		0.0005971264915951974	-7.197781303148882	4.071292599910725	0.5866730625568255	0.11781411695015165	3	3	-32.61877495688221	0.0034423874129007152	True
118		0.0003868090689745235	-6.201965759526075	2.094405199148994	0.2688445510405862	0.6122896934063728	3	3	-21.488669023274255	0.0027961706426717675	True
119		8.845747170923376e-05	-7.433479105416655	2.9326124623166123	0.14384579239311263	0.3772192892985729	3	3	-44.473418354221856	0.0011608342056611755	True
120		0.00035689355282906866	-3.933895200166882	1.7364766403933007	0.14607082771504754	0.3684577249140246	3	3	-24.77919196081328	0.002624398280717203	True
121		0.0028336621419480243	-10.60069089811554	1.7321953589040582	0.2147288398442767	1.2705220061597682	3	3	-16.57782453944262	0.008164652560230589	True
122		0.0005832052087299548	9.574898895566873	-1.6104788062954707	0.7916185473114311	0.276658918109073	3	3	23.10318335774647	0.0034080249208190347	True
123		0.0002702991096660458	6.069023433441276	-0.2599842178234448	0.5882358037119197	0.37649516169024383	3	3	15.69599022684694	0.0021797787945989767	True
124	-3.6188990252623503	0.011778496792403993	3.9132461925654187	0.3185224249143421	0.8661176504842746	0.2983876075818388	3	3	6.796647086708643	0.0214680721451295	True
125	-3.0242562157791335	0.00012023015655523532	4.521621689721736	0.5557793261069799	0.33501037293709096	0.271678645209403	3	3	15.925440970242052	0.0013674176472215432	True
126	-2.2863112554049625	0.011814233439478869	5.642852354701604	1.156779063567033	0.4656894292590848	1.1478761345408621	3	3	6.272569604701135	0.021487294507197177	True
127		0.009287039146377164	-1.1959055561006904	4.64418910854292	1.1228112296627182	1.619815631795737	3	3	-5.132305723452701	0.018127790370388377	True
128		0.002842792274781342	-5.122786522086027	6.132833035694548	1.0398756088901582	1.9462435002946916	3	3	-8.83488704061622	0.008164652560230589	True
129		0.0015755135421014449	-7.193663200844064	4.8112382222866525	0.5384502219783358	1.3721020373013992	3	3	-14.106850810063833	0.00584310022353275	True
130		0.00022573428805385402	-5.849194766753629	3.0176734993575187	0.5200931531425501	0.7947489808614475	3	3	-16.169554209045636	0.0019650894132419577	True
131		6.031286692038947e-06	-7.264879521811367	3.7654023084577104	0.4388304448493391	0.398842144779947	3	3	-32.217634098080204	0.0003215429717693264	True
132		0.0050955388958914645	-0.2979134095753085	2.486953367989391	0.34932099789335047	0.6065762552472951	3	3	-6.891040100260145	0.01197381454048325	True
133	0.7762781728209135	0.6551074047863067	0.9567996778300037	1.6387172880362162	2.2716906413624587	0.1201653968646669	3	3	-0.5192022874368125	0.6814714832716092	False
134		0.0013935116524996648	7.840236243700591	-1.366710023666097	0.8127315101275354	0.22659032025113926	3	3	18.900537612868863	0.005466491821403744	True
135		0.003731158420903138	4.259021593598475	-0.09670490527810127	0.6580588031024507	0.23184101209419383	3	3	10.81308638141558	0.00985349267192067	True
136		0.00945161995612025	-1.6406682774517154	1.8084365408602407	0.10902028680688455	0.6337226912033341	3	3	-9.290403609780931	0.018364992762119756	True
137	-1.9998197107479805	0.0034609061338040266	3.7934311858473477	0.9484763172084394	0.5378510141923998	0.5810094839286927	3	3	6.223750974507901	0.009456487281240955	True
138	-3.2791020661367125	0.0020991227290651504	4.569863478680893	0.4707552208485392	0.5199249662393836	0.20166931703539936	3	3	12.731367924138485	0.006782392757168838	True
139	-0.9904066751033971	0.08884268421936149	4.376677038548727	2.202938552927101	1.0933070098207855	1.2647323389519236	3	3	2.2520978862994374	0.11534674222087572	False
140	-0.5619539357613292	0.28393090471197935	2.838562598435569	1.9227972186796123	0.9867801362312699	0.8077786032715809	3	3	1.2438051599464424	0.32121095718742493	False
141		0.0004247622669281575	-5.293551172480012	5.017686134431728	1.2129541775481065	0.9632506949996815	3	3	-11.530452540399462	0.002969854210571462	True
142		7.811903307111052e-05	-4.822944230592132	3.8498223814714136	0.6356246466172423	0.4818289754272804	3	3	-18.833412289319654	0.0010840099823786426	True
143		0.0011677981013166654	-5.661884619604933	3.3772980507310515	0.5614786894217421	0.055538517719429435	3	3	-27.74867455068953	0.005030968587995534	True
144		3.98438017807716e-05	-3.8536453274682643	3.1459293329419378	0.4478599358250901	0.3800429040303744	3	3	-20.640286639006273	0.0007231226152978336	True
145		1.2247351407238586e-05	-6.2047268376891855	2.4246903365152925	0.30611749565452845	0.3918519955096623	3	3	-30.058600315113853	0.0004352912812656047	True
146	-0.9446711046070162	0.4845856122904656	-2.693652759382052	-1.3994818527441104	1.2669315630020874	2.511730248346993	3	3	-0.7968138225958851	0.5194128446074822	False
147		0.0005972723764470174	-6.844657087068508	1.9803257524984001	0.5757927066449686	0.9791674454027122	3	3	-13.456376105124152	0.0034423874129007152	True
148	1.9917070289001781	0.13254425377819778	0.26424701364364367	1.0509296530623777	0.3313788705320702	0.5884712965379052	3	3	-2.017554129379522	0.16481085783207391	False
